osm_id,osm_type,lat,lon,access,addr:city,addr:country,addr:floor,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:street:en,air_conditioning,alarm,alt_name,amenity,bicycle,branch,brand,brand:wikidata,building,check_date,check_in,colour,contact:addr:full,contact:email,contact:emergency,contact:phone,contact:website,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,defibrillator:location:fr,description,description:de,description:en,elevator,email,emergency,emergency:amenity,emergency:phone,emergency_telephone_code,fixme,foot,highway,id,image,image:license,image_1,image_2,indoor,internet_access,latitude,layer,leisure,level,level:ref,location,locked,longitude,manufacturer,mapillary,motor_vehicle,name,note,opening_hours,operator,operator:email,operator:phone,operator:type,outdoor,panoramax,phone,phone:CH,planned:tourism,postal_code,ref,source,sport,start_date,support,survey:date,tourism,url,website,wheelchair,wheelchair:description,wikimedia_commons
256171559,node,47.2398129,8.730395,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An Fassade Schulhaus Nord, Richtung grosser Pausenplatz",,,,Grüner Kasten,,,,,defibrillator,,144,,,,,node/256171559,,,,,wall,,,,,0,,,,,,,,Gemeinde Stäfa ZH,,24/7,Lifetec AG Schweiz,,,,,,+41 800 122 144,,,,,,,,,,,,,,,
286879700,node,46.9423827,7.430204,yes,Bern,,,,66,,3007,Zieglerstrasse,,yes,,,,,Bern City,Ibis Styles,Q3147425,,2025-03-21,14:00,,,,,,,,im Foyer bei den Aufzügen,,,,,,,yes,h9662@accor.com,defibrillator,,,,,,,node/286879700,,,,,yes,wlan,,,,0,,,,,,,,Ibis Styles,,24/7,Accor,,,,,,+41 31 378 66 66,,hotel,,,,,,,,hotel,,https://all.accor.com/hotel/9662/index.de.shtml,,,
357181864,node,46.4118664,8.1017062,yes,,,,,,,,,,,,,,,,,,,2024-07-24,,,,,,,,,Belle Vista eingang - gegenüber Hotel Jungfrau.,,,,,,,,,defibrillator,,144,,,,,node/357181864,,,,,,,,,,1,,"Treppen hoch zum der Belle Vista Eingang, gegenüber der Hotel Jungfrau.",,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,no,,
442135045,node,46.0193273,7.7460552,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,On wall outside building / An Aussenwand,,,,,,,,,defibrillator,,144,,,,,node/442135045,,,,,no,,,,,0,,,,,,,,,,24/7,,,,,,25dadc45-42f2-452a-b181-ae08c8e5cc58,,,,,,,,,,,,,,yes,,
617510589,node,47.5193564,8.3609857,yes,,,,,,,,,,,,,fire_station,,,,,,,,,,,,,,,Feuerwehrmagazin an Wand links beim linken Tor des Feuerwehrmagazins,,,,,,,,,defibrillator,,144,,,,,node/617510589,,,,,no,,,,,,,,,,,,,Feuerwehr Schneisingen,,24/7,Firstresponder Schneisingen,,,,,,+41 56 241 27 66,,,,,,,,,,,,,,,
692850699,node,47.6780089,8.8311129,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushaltestelle/Mehrzweckhalle,,,,,,,,,defibrillator,,144,,,,,node/692850699,,,,,yes,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
697250228,node,47.1611969,7.5081349,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,An Wand seitlich vom Eingang,,,,,,,,,defibrillator,,144,,,,,node/697250228,,,,,,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,survey,,,,,,,,yes,,
1024130902,node,47.4461321,8.7954507,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beim Schwimmbad Engelburg,,,,,,,,,defibrillator,,144,,,,,node/1024130902,,,,,no,,,,,0,,,,,,,,,,24/7,Gemeinde Zell,,,,,,+41 52 397 03 11,,,,,,,,,,,,,,,
1069465215,node,47.2380916,8.7543413,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,An Fassade beim Eingang,,,,Grüner Kasten,,,,,defibrillator,,144,,,,,node/1069465215,,,,,no,,,,,0,,,,,,,,Gemeinde Stäfa ZH,,24/7,Lifetec AG Schweiz,,,,,,+41 800 122 144,,,,,,,,,,,,,,,
1372175088,node,46.8692448,9.8809881,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beim AG Gleis 1,,,,,,,,,defibrillator,,144,,,,,node/1372175088,,,,,no,,,,,0,,,,,,,,,,24/7,Rhätische Bahn AG,,,,,,+41 81 288 65 65,,,,,,,,,,,,,yes,,
