osm_id,osm_type,lat,lon,access,access:conditional,access:delivery,access:note,activation,addr:city,addr:city:de,addr:city:fr,addr:country,addr:floor,addr:full,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:street:de,addr:street:fr,amenity,bicycle,check_date,check_date:opening_hours,colour,contact:addr,contact:city,contact:country,contact:email,contact:emergency,contact:housenumber,contact:mobile,contact:phone,contact:postcode,contact:street,contact:website,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,defibrillator:location:fr,des,description,description:en,destination,email,emergency,emergency:phone,entrance,fitness,fixme,floor,foot,healthcare,healthcare:speciality,horse,id,image,image_1,image_2,indoor,internet_access,latitude,layer,level,level:ref,loc_name,location,longitude,motor_vehicle,name,name:en,note,note:de,object:housenumber,object:street,office,opening_hours,opening_hours:covid19,opening_hours:note,opening_hours:url,operator,operator:email,operator:phone,operator:type,operator:wikidata,operator:wikipedia,outdoor,outdoor_seating,panoramax,phone,phone:CH,phone:mobile,postal_code,recycling:cans,recycling:clothes,recycling:coffee_capsules,recycling:glass,recycling:glass_bottles,recycling:paper,recycling:shoes,recycling:waste,recycling_type,ref,seasonal,social_facility,social_facility:for,source,start_date,support,survey:date,temporary,website,wheelchair,wikimedia_commons,wikipedia:de
417175648,node,46.0539008,8.9945017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/417175648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506084559,node,47.4630852,9.0417132,yes,,,,,Wil SG,,,,,,,6,Bahnhofplatz,9500,,,,arts_centre,,2024-10-20,,,,,,,,,,,,,,,Outside of Entrance,,,,,,,,,defibrillator,144,,,,,,,,,node/506084559,,,,no,,,,0,,,,,,Stadtsaal Wil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738927042,node,46.4866565,8.8056112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/738927042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873925262,node,47.3337067,9.4172675,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eingangsbereich Alters und Pflegezentrum im Gebäude links,,,,,,,,,defibrillator,144,,,,,,,,,node/873925262,,,,,,,,,,,,,,,,,,,,,Mo-Sa 08:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025912519,node,47.0299526,8.2919526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AED Südpol Arsenalstrasse 1,,,,,,,,,defibrillator,144,,,,,,,,,node/1025912519,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733421617,node,47.4985984,8.3443139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zu Öffnungszeiten,,,,,,,,,defibrillator,144,,,,,,,,,node/1733421617,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743453065,node,47.1520085,7.4042645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/1743453065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062222792,node,47.4774965,9.1878182,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aussenwand vor Eingang Feuerwehr rechts.,,,,,,,,,defibrillator,144,,,,,,,,,node/2062222792,,,,,,,,,,,,,,,,,,,,,,,,,Gemeinde Niederhelfenschwil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,
2152618072,node,47.6738507,9.0211203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/2152618072,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296251595,node,47.0060596,7.0089981,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dans l'unité F1. / In unit F1.,,,,,Pas d'accès car la salle est fermée. / Not accessible because the room is locked.,,,,defibrillator,144,,,,,,,,,node/2296251595,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
