osm_id,osm_type,lat,lon,access,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,check_date,defibrillator:location,defibrillator:location:en,description,emergency,emergency:phone,fixme,id,indoor,latitude,level,longitude,name,note,opening_hours,operator,phone,postal_code,ref,source,website,wheelchair
2429003993,node,47.3735989,7.7000989,yes,,,,,,,Bergsation Eingang Restaurant,,24/365,defibrillator,144,,node/2429003993,no,,,,,,24/7,Luftseilbahn Reigoldswil Wasserfallen,,,,,,
2470040383,node,47.5534401,7.6218255,,,,,,,,in der Apotheke,,,defibrillator,144,,node/2470040383,yes,,,,,,,,,,,,,
3361809293,node,47.5459525,7.5884023,yes,,,,,,,Bahnhof SBB Passarelle Eingang Süd bei Dosenbach,,,defibrillator,144,,node/3361809293,yes,,1,,,,24/7,,,,,,,limited
4313408793,node,47.546757,7.5847019,,,,,,,,"Attached to pillar in the middle of the Ibis lobby, just inside the main entrance.",,,defibrillator,144,,node/4313408793,yes,,,,,,,,,,,,,
4316234217,node,47.5488976,7.5823325,,,,,,,,"Zoo Basel, Haupteingang, unmittelbar nach der Kasse an Hausecke",,,defibrillator,144,,node/4316234217,yes,,,,,,24/7,Zoo Basel,+41 61 295 35 35,,,,,
4926738436,node,47.560014,7.6099661,,,,,,,,,,,defibrillator,144,,node/4926738436,yes,,,,,,,,,,,,,
6020115297,node,47.4836815,7.5458935,yes,,,,,,,,,,defibrillator,144,,node/6020115297,no,,,,,,24/7,Gemeinde Ettingen,,,,,,
6251274093,node,47.5615179,7.5817814,permissive,,,,,,,Neben der Geschirrrückgae,,,defibrillator,144,,node/6251274093,yes,,,,,,,,,,,,,
7487160561,node,47.5365763,7.5013715,yes,,,,,,,Vor dem Eingang,,Vor dem Gebäude jeder Zeit öffentlich zugänglich,defibrillator,144,,node/7487160561,no,,0,,,,24/7,Gemeinde,+41 61 481 31 55,,,,,
7559403092,node,47.4709205,7.5939909,yes,,,,,,,Rechts vom Haupteingang in das Gebäude,,,defibrillator,144,,node/7559403092,no,,,,,,24/7,Gemeinde Aesch,,,,,,
7577586749,node,47.493445,7.5913046,yes,,,,,,,Beim Gemeindehaus,,,defibrillator,144,,node/7577586749,no,,0,,,,24/7,"Gemeinde Reinach, Hauptstrasse 10, 4153 Reinach BL",+41 61 511 60 00,,,,,
7726925169,node,47.5743,7.60849,,,,,,,,,,,defibrillator,144,,node/7726925169,,,,,,,,,,,,,,
