osm_id,osm_type,lat,lon,access,access:conditional,addr:city,addr:country,addr:housenumber,addr:place,addr:postcode,addr:street,amenity,check_date,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,description,description:en,emergency,emergency:phone,fixme,id,image,indoor,latitude,leisure,level,longitude,name,note,opening_hours,opening_hours:covid19,opening_hours:note,operator,operator:phone,operator:type,phone,postal_code,ref,source,sport,start_date,website,wheelchair
506084559,node,47.4630852,9.0417132,yes,,Wil SG,,6,Bahnhofplatz,9500,,arts_centre,2024-10-20,,Outside of Entrance,,,,,defibrillator,144,,node/506084559,,no,,,0,,Stadtsaal Wil,,,,,,,,,,,,,,,
873925262,node,47.3337067,9.4172675,yes,,,,,,,,,,,Eingangsbereich Alters und Pflegezentrum im Gebäude links,,,,,defibrillator,144,,node/873925262,,,,,,,,,Mo-Sa 08:00-20:00,,,,,,,,,,,,,
1847264321,node,47.2493548,9.3423719,yes,,,,,,,,,,,Bergstation Schwebebahn Säntis,,,Standort bei Shop im EG der Talstation,,defibrillator,144,,node/1847264321,,yes,,,-1,,,,24/7,,,LSS,,,+41 71 365 66 66,,,,,,,limited
2062222792,node,47.4774965,9.1878182,yes,,,,,,,,,,,Aussenwand vor Eingang Feuerwehr rechts.,,,,,defibrillator,144,,node/2062222792,,,,,,,,,,,,Gemeinde Niederhelfenschwil,,,,,,,,,,yes
3459789235,node,47.148647,9.1414084,yes,,,,,,,,,,yes,Vor dem Haupteingang des Hallenbades Amden,,,,,defibrillator,144,,node/3459789235,,no,,sports_centre,,,Hallenbad Amden,,24/7,,,Gemeinde Amden,,,+41 58 228 25 00,,,,swimming,,,
3653196823,node,47.4333593,9.6331525,,,Au,CH,10,,,Kirchweg,,,,,Am Eingang des Pfarrhauses,beside the frontdoor,,,defibrillator,144,,node/3653196823,,,,,,,,,24/7,,,,,,,,,,,,,
4476373834,node,47.4413117,9.135196,,,,,,,,,,,,front door,,,,,defibrillator,144,,node/4476373834,,no,,,,,,,24/7,,,,,,,,,,,,,
4985525223,node,47.2251861,8.8154827,yes,,,,,,,,,,,Tourist Information,,,Haupteingang bei Parkhaus See,,defibrillator,144,,node/4985525223,,no,,,,,,,24/7,,,"Stadt Rapperswil-Jona, Feuerwehr",,,+41552257073,,,,,,,
5036047322,node,47.4475817,9.5087004,yes,,Grub AR,,315,,9035,Dorf,school,,,Beim Schulhauseingang / an der Hauptstrasse,,,,,defibrillator,144,,node/5036047322,,no,,,,,Schule Grub AR,,24/7,,,Gemeinde Grub AR,,,+41 71 891 17 50,,,,,,https://schule.grub.ch/,
5111112085,node,47.32368,9.0870699,yes,,,,,,,,,,,Im Eingangsbereich bei den Bankomaten,,,,,defibrillator,144,,node/5111112085,,yes,,,,,,,24/7,,,,,,,,,,,,,
5169234913,node,47.3172366,9.049926,yes,,,,,,,,,,,Hängt aussen an der Fassade.,,,,,defibrillator,144,,node/5169234913,,no,,,,,,,24/7,,,,,,,,,,,,,
5766031856,node,47.4875145,9.5621881,,,,,,,,,,,,,,,,,defibrillator,144,,node/5766031856,,,,,,,,,,,,,,,,,,,,,,
5766031956,node,47.4878205,9.5526229,,,,,,,,,,,,,,,,,defibrillator,144,,node/5766031956,,,,,,,,,,,,,,,,,,,,,,
6071133387,node,47.2993023,9.0866422,yes,,,,,,,,,,,an der Säule Gleis 1,,,,,defibrillator,144,,node/6071133387,,no,,,,,,,24/7,,,SOB,,,+41 58 580 70 70,,,,,,,
6087082124,node,47.3194172,9.0830089,yes,,,,,,,,,,,Unterstand Gleis 1 / 2,,,,,defibrillator,144,,node/6087082124,,no,,,,,,,24/7,,,SOB,,,+41 58 580 70 70,,,,,,,
6140761777,node,47.4659248,9.0440635,yes,,,,,,,,,,,Beim Haupteingang AXA. AED befindet sich neben der Tür,,,,,defibrillator,144,,node/6140761777,,no,,,,,,,24/7,,,,,,,,,,,,,
6176622643,node,47.3725784,9.2005501,yes,,,,,,,,,,,Perron Gleis 2 / 3,,,,,defibrillator,144,,node/6176622643,,no,,,,,,,24/7,,,SOB,,,+41 58 580 70 70,,,,,,,yes
6488276357,node,47.225671,8.8182088,yes,,,,,,,,,,,"Indoor, zwischen Migros-Restaurant und Parfümerie Marionnaud.",,,,,defibrillator,144,,node/6488276357,,yes,,,0,,,,,,,,,,,,,,,,,yes
6504687072,node,47.4783272,9.576819,private,,,,,,,,,,,Im Feuerwehrdepot: neben dem Haupteingang,,,zu Öffnungszeiten verfügbar,,defibrillator,144,,node/6504687072,,,,,,,,,,,,Feuerwehr RTL,,,,,,,,,,
6513267002,node,47.358121,9.1434849,yes,,,,,,,,,,,Blockhaus im Behinderten WC,,,,,defibrillator,144,,node/6513267002,,yes,,,,,,,24/7,,,Genossenschaft Baumwipfelpfad Neckertal,,,+41 71 552 33 03,,,,,,,
6604730796,node,47.2125546,9.0275013,,,,,,,,,,,,,,,,,defibrillator,144,,node/6604730796,,no,,,,,,,,,,,,,,,,,,,,
6604730799,node,47.2129088,9.0266542,,,,,,,,,,,,,,,AED ist nur bei offener Praxis verfügbar,,defibrillator,144,,node/6604730799,,yes,,,,,,,"Mo-Fr 07:30-12:00, 13:30-18:00",,,Praxis Dr. Gmür AG,,,,,,,,,,
6604730800,node,47.213324,9.0247099,yes,,,,,,,,,,,1. Etage im Rössliguet (in Praxis),,,,,defibrillator,144,,node/6604730800,,yes,,,1,,,,"Mo-Th 07:00-12:00,13:00-18:00; We 07:00-12:00,14:00-17:00; Fr 07:30-12:00,13:00-17:00",,,Praxis Dr. Dame,,,+41 55 293 35 25,,,,,,,
6604730801,node,47.2095355,9.0226856,,,,,,,,,,,,,,,,,defibrillator,144,,node/6604730801,,yes,,,,,,,,,,Defibrillator ihcsf,,,,,,,,,,
6604730806,node,47.2097902,9.0247387,,,,,,,,,,,,Parallel östlich der Benknerstrasse,,,Sport- und Tennisplatz Stiggleten,,defibrillator,144,,node/6604730806,,no,,,,,,,24/7,,,,,,,,,,,,,
6651535154,node,46.9387644,8.9983486,yes,,Braunwald,,2,,8784,Dorfstrasse,,,,Bei der Kasse,,,Oranger Koffer,,defibrillator,144,,node/6651535154,,yes,,,,,Braunwald-Standseilbahn,,Mo-Su 04:45-24:00,,,Lifetec AG,,,+41 800 122 144,,1613LTM,,,,,
6712060852,node,47.1987287,9.0015432,yes,,,,,,,,,,,,,,,,defibrillator,144,,node/6712060852,,,,,,,,,,,,,,,,,,,,,,
6712060853,node,47.1998956,8.9987744,,,,,,,,,,,,,,,,,defibrillator,144,,node/6712060853,,yes,,,,,,,,,,,,,,,,,,,,
6723988024,node,47.1963579,9.0014321,,,,,,,,,,,,,,,,,defibrillator,144,,node/6723988024,,yes,,,,,,,,,,,,,,,,,,,,
7093231385,node,47.2266489,9.1977722,yes,,,,,,,,,,,Am Stützpfosten zwischen Gleis 1 und Billetautomat,,,,,defibrillator,144,,node/7093231385,,no,,,,,,,24/7,,,SOB,,,+41 58 580 70 70,,,,,,https://aed.ch/,yes
7410535756,node,47.2911596,9.0980078,,,,,,,,,,,,Aussen an der Wand,,,,,defibrillator,144,,node/7410535756,,no,,,,,,,24/7,,,Hedinger AG,,,,,,,,,,
7559412996,node,47.0992943,9.0694633,yes,,,,,,,,,,,im Vorraum bei den Bancomaten,,,,,defibrillator,144,,node/7559412996,,,,,,,,,24/7,,,,,,,,,,,,,
7559485217,node,47.4454841,9.14217,yes,,,,,,,,,,,Aussen am Treppengebäude zum Parkhaus,,,,,defibrillator,144,,node/7559485217,,no,,,,,,,24/7,,,Raiffeisenbank Regio Uzwil,,,,,,,,,,
7559485218,node,47.4360498,9.1349709,yes,,,,,,,,,,,"Aussen, rechts, neben der Schiebetüre, an der Wand",,,,,defibrillator,144,,node/7559485218,,no,,,,,,,24/7,,,,,,,,,,,,,
7559489762,node,47.1590913,9.3805768,yes,,Grabs,,,,,Voralpsee,,,,bei Kiosk,,,Grüner Kasten,,defibrillator,144,,node/7559489762,,,,,0,,,,24/7,,,Lifetec AG,,,+41800122144,,0019LTC,,,,,
7559742677,node,47.228441,8.8369104,yes,,,,,,,,,,,In Kirchgemeindehaus,,,,,defibrillator,144,,node/7559742677,,,,,,,,,,,,,,,,,,,,,,
7559742678,node,47.2256432,8.8643816,yes,,,,,,,,,,,Eventhalle,,,"Zeugen Jehovas, Beschilderung beachten",,defibrillator,144,,node/7559742678,,,,,,,,,,,,,,,,,,,,,,
7559742679,node,47.224018,8.8225378,yes,,,,,,,,,,,Kinderzoo,,,bei Kasse melden,,defibrillator,144,,node/7559742679,,,,,,,,,,,,,,,,,,,,,,
