osm_id,osm_type,lat,lon,access,access:conditional,access:delivery,addr:city,addr:full,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,check_date,colour,contact:phone,covered,defibrillator:location,description,email,emergency,emergency:phone,fixme,healthcare,healthcare:speciality,id,indoor,latitude,level,loc_name,location,longitude,mapillary,name,note,note:de,opening_hours,operator,operator:phone,outdoor,phone,ref,source,website,wheelchair,wikipedia:de
1025912519,node,47.0299526,8.2919526,,,,,,,,,,,,,,,AED Südpol Arsenalstrasse 1,,,defibrillator,144,,,,node/1025912519,yes,,,,,,,,,,,,,,,,,,,
2072537065,node,47.0542149,8.1035636,yes,,,,,,,,,,,,,,beim Kirchenaufgang li an Mauer,,,defibrillator,144,,,,node/2072537065,,,,,,,,Kirchgemeinde Werthenstein,,,24/7,,,,,,,,,
2458181794,node,46.9566575,8.3698766,yes,,,,,,,,,,,,,,"Links vorm Eingang der Bibliothek, in grün an der Wand",Kantonsbibliothek,,defibrillator,144,,,,node/2458181794,no,,,,,,,,,,24/7,,,,,,,,,
2659529614,node,47.2357503,8.0763717,,,,,,,,,,,,,,,Valiant Bank,,,defibrillator,144,,,,node/2659529614,,,,,,,,,,,,,,,,,,,,
3607164743,node,47.1712803,7.8885453,,,,,,,,,,,,,,,"Kirchstrasse 9, Pfarreiheim",Hinter Briefkasten Pfarreiheim,,defibrillator,144,,,,node/3607164743,no,,,,,,,,,,24/7,,,,,,,,,
3608449220,node,46.9817254,8.3102748,yes,,,,,,,,,,,,,,"Standort;Eingang COOP/ RAV, rechts neben der Treppe an der Wand",,,defibrillator,144,,,,node/3608449220,no,,,,,,,,,,24/7,Gemeinde Hergiswil,,,,,,,yes,
3981860525,node,46.8962894,8.2454887,,,,,,,,,,,,,,,"Spritzenhaus, rechts neben Tor",,,defibrillator,144,,,,node/3981860525,no,,0,,,,,,,,24/7,Gemeinde Sarnen,,,,,,,,
4132686802,node,47.2010431,7.9627459,,,,Altishofen,,9,6246,Oberdorf,,,,,,,Oberdorf 9,,,defibrillator,144,,,,node/4132686802,,,,,,,,,,,,,,,,,,,,
4321924249,node,47.242923,8.0686386,,,,,,,,,,,,,,,Grenzzaun zwischen Tennis- und Fussballplatz,Für beide Vereine und öffentlich Zugängig,,defibrillator,144,,,,node/4321924249,no,,,,,,,,,,,,,,,,,,,
4542841737,node,47.0337968,8.4260361,,,,,,,,,,,,,,,"Aussenwand, bei Geldautomat",,,defibrillator,144,,,,node/4542841737,yes,,,,,,,,,,,,,,,,,,,
4867633692,node,47.0339027,8.4405848,,,,,,,,,,,,,,,Neben dem Kassenautomaten,,,defibrillator,144,,,,node/4867633692,no,,,,,,,,,,,,,,,,,,,
5149554201,node,47.2606329,7.9594045,,,,,,,,,,,,,,,Josef Hunkeler AG,,,defibrillator,144,,,,node/5149554201,,,,,,,,,,,,,,,,,,,,
5155567241,node,46.5986073,8.5021515,,,,,,,,,,,2024-05-05,,,,,,,defibrillator,144,,,,node/5155567241,no,,,,"Gegenüber der Hotel Post, an der Wand befestigt",,,Feuerwehr Magazin,,,24/7,,,,,,,,,
5194641075,node,47.1087993,8.3660824,private,,,,,,,,,,,,,,,,,defibrillator,144,,,,node/5194641075,yes,,,,,,,,,,24/7,,,,+41 41 455 87 33,,,,,
5194644314,node,47.1114919,8.3666618,private,,,,,,,,,,,,,,,,,defibrillator,144,,,,node/5194644314,yes,,,,,,,,,,,,,,+41 41 455 86 00,,,,,
5194646372,node,47.1113824,8.3669676,private,,,,,,,,,,,,,,,,,defibrillator,144,,,,node/5194646372,yes,,,,,,,,,,24/7,,,,+41 41 455 85 32,,,,,
5371136952,node,46.9024516,8.6250459,yes,,,,,,,,,,2024-01-28,,,,An der Wand im Wartesaal der Bushaltestelle angebracht,,,defibrillator,144,,,,node/5371136952,,,,,,,,,,,24/7,,,,,,,,,
