osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,defibrillator:location,defibrillator:location:de,description,emergency,emergency:phone,id,indoor,level,name,note,opening_hours,operator,phone,ref,source
873925262,node,47.3337067,9.4172675,yes,,,,,,Eingangsbereich Alters und Pflegezentrum im Gebäude links,,,defibrillator,144,node/873925262,,,,,Mo-Sa 08:00-20:00,,,,
7721055966,node,47.3312566,9.4068454,yes,,,,,,"SWICA: Bei Kopierer, bei Infoschalter melden",,nur während Öffnungszeiten verfügbar,defibrillator,144,node/7721055966,,,,,,,,,
7721098228,node,47.3211036,9.4327502,yes,,,,,,An der Hauswand bei Feuerwehrhaus,,,defibrillator,144,node/7721098228,,,,,24/7,,,,
7721098234,node,47.3331968,9.4036317,yes,,,,,,"Haupteingang, im 1.OG neben Lift",,nur während Öffnungszeiten verfügbar,defibrillator,144,node/7721098234,,,,,,,,,
7721098235,node,47.3310201,9.4097845,yes,,,,,,im Eingangsbereich,,,defibrillator,144,node/7721098235,no,,,,24/7,,,,
7721348582,node,47.4223756,9.5524675,,,,,,,Bezirksverwaltung Oberegg,,,defibrillator,144,node/7721348582,,,,,24/7,,,,
7721367906,node,47.3687451,9.3675828,yes,,,,,2025-09-14,"Im Eingang zur Kantonalbank, zu dem jeder Zugang hat.",,Öffentlich zugänglich,defibrillator,144,node/7721367906,yes,,,,24/7,,,,
7813190784,node,47.3332296,9.3994483,yes,,,,,,Der Defi befindet sich im Eingangsbereich in einem Notfallschrank mit dem Rettungszeichen versehen.,,,defibrillator,144,node/7813190784,yes,,,,Mo-Fr 06:00-23:00,update Fitness,,,
7933294832,node,47.284696,9.4115549,yes,,,,,,Bergstation Ebenalpbahn,,"auf der Südostseite der Bergstation, Standort ist beschildert",defibrillator,144,node/7933294832,no,,,,24/7,Ebenalpbahn,,,
7933308394,node,47.3293984,9.4049285,yes,,,,,,"Im UG vor dem Sanitätszimmer, links an der Säule",,nur während Öffnungszeiten verfügbar,defibrillator,144,node/7933308394,,,,,24/7,,,,
7933308395,node,47.3315608,9.4045919,yes,,,,,,"EG des Westtraktes, Schülerkopierraum",,nur während Öffnungszeiten verfügbar,defibrillator,144,node/7933308395,,,,,Mo-Fr 06:30-20:30,,,,
7933308396,node,47.3326814,9.4094469,yes,,,,,,Nach Eingang Kirche,,nur während Öffnungszeiten verfügbar,defibrillator,144,node/7933308396,,,,,Mo-Su 09:00-17:00,,,,
7933308397,node,47.334804,9.4099059,yes,,,,,,Polizeiposten im Vorraum der Rezeption links an der Wand,,Defibrillator immer erreichbar,defibrillator,144,node/7933308397,entrance,,,,24/7,Kantonspolizei Appenzel I.Rh,,,
7933309819,node,47.2606778,9.4532901,yes,,,,,,Berggasthaus: Bei D.Lüchinger melden,,nur während Öffnungszeiten verfügbar,defibrillator,144,node/7933309819,yes,,,,,,,,
7933406645,node,47.3266759,9.3436468,yes,,,,,,MZG Gonten,,nur während Öffnungszeiten verfügbar,defibrillator,144,node/7933406645,,,,,24/7,,,,
7933707313,node,47.4209024,9.5529343,yes,,,,,,Eingangsbereich Schulhaus,,,defibrillator,144,node/7933707313,no,0,,,24/7,Bezirksverwaltung Oberegg,,,
7933711858,node,47.2915673,9.3279693,yes,,,,,,im Wartesaal der Bergstation,,während Öffnungszeiten verfügbar,defibrillator,144,node/7933711858,,,,,,,,,
7933711859,node,47.3198387,9.3284279,yes,,,,,,im Wartesaal der Talstation,,während Öffnungszeiten verfügbar,defibrillator,144,node/7933711859,yes,,,,,,,,
7933908937,node,47.3096762,9.4346528,yes,,,,,,Im Erdgeschoss beim Notausgang,,während Öffnungszeiten verfügbar,defibrillator,144,node/7933908937,,,,,,,,,
7933908938,node,47.3095344,9.4329804,yes,,,,,,zwischen Empfang und Gesundheitszentrum,,während Öffnungszeiten verfügbar,defibrillator,144,node/7933908938,,,,,,,,,
8012612818,node,47.332159,9.4135827,yes,,,,,,Aussenbereich beim Eingang zum Restaurant,,,defibrillator,144,node/8012612818,no,,,,24/7,,,,
8065786250,node,47.3253814,9.4216588,yes,,,,,,Ostseite (Fussballplatz) im Eingang neben der Treppe,,,defibrillator,144,node/8065786250,no,,,,24/7,,,,
8300165926,node,47.32655,9.420744,yes,,,,,,Beim Eingang hinter Bistrotüre,,Mai-Sept verfügbar während Badbetrieb,defibrillator,144,node/8300165926,yes,,,,,Badi Appenzell,,,
8300165927,node,47.325629,9.4197627,yes,,,,,,Beim Eingang hinter Bistrotüre,,,defibrillator,144,node/8300165927,yes,,,,Mo-Su 07:00-22:30,Sportanlage Schaies,,,
