osm_id,osm_type,lat,lon,access,access:conditional,access:note,addr:city,addr:city:de,addr:city:fr,addr:country,addr:floor,addr:full,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:street:de,addr:street:fr,air_conditioning,amenity,bicycle,branch,brand,brand:wikidata,building,check_date,check_date:opening_hours,check_in,colour,contact:addr,contact:addr:full,contact:email,contact:emergency,contact:mobile,contact:phone,contact:website,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,description,elevator,email,emergency,emergency:phone,emergency_telephone_code,entrance,fixme,floor,foot,id,image_1,image_2,indoor,internet_access,latitude,level,location,longitude,motor_vehicle,name,note,opening_hours,operator,outdoor,outdoor_seating,phone,phone:CH,planned:tourism,postal_code,ref,seasonal,source,support,survey:date,tourism,website,wheelchair,wikimedia_commons
286879700,node,46.9423827,7.430204,yes,,,Bern,,,,,,,66,,3007,Zieglerstrasse,,,yes,,,Bern City,Ibis Styles,Q3147425,,2025-03-21,,14:00,,,,,,,,,,im Foyer bei den Aufzügen,,,,yes,h9662@accor.com,defibrillator,,,,,,,node/286879700,,,yes,wlan,,0,,,,Ibis Styles,,24/7,Accor,,,+41 31 378 66 66,,hotel,,,,,,,hotel,https://all.accor.com/hotel/9662/index.de.shtml,,
1743453065,node,47.1520085,7.4042645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/1743453065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2196407940,node,47.2518275,7.6454615,yes,,,Wiedlisbach,,,,,,,1,,4537,Bahnhofstrasse,,,,,,,,,,,,,,,,,,,,,,Eingangsbereich Bank,,,,,,defibrillator,144,,,,,,node/2196407940,,,yes,,,,,,,,,24/7,Raiffeisenbank,,,+41 32 636 11 88,,,,,,,,,,,,
2659177739,node,47.2363907,7.6544162,yes,,,Wangen an der Aare,,,CH,,,,32,,3380,Städtli,,,,,,,,,,,,,,,,,,,,,,Kantonspolizei Bern,,,,,,defibrillator,144,,,,,,node/2659177739,,,no,,,,,,,,,24/7,Kantonspolizei Bern,,,+41 31 638 84 40,,,,,,,,,,,no,
2963210013,node,47.2321861,7.6544425,yes,,,Wangen an der Aare,,,CH,,,,30,,3380,Vorstadt,,,,,,,,,,,,,,,,,,,,,,UBS AG,,,,,,defibrillator,144,,,,,,node/2963210013,,,yes,,,,,,,,Standort Firstresponder.be ist falsch,24/7,,,,+41 79 601 08 20,,,,,,,,,,,,
3188383561,node,47.2642142,7.6422379,yes,,,Rumisberg,,,,,,,,,4539,Dorfstrasse,,,,,,,,,,,,,,,,,,,,,,Feuerwehrmagazin,,,,,,defibrillator,144,,,,,,node/3188383561,,,,,,,,,,,,24/7,,,,+41 32 636 23 25,,,,,,,,,,,,
3201227964,node,47.2665371,7.6209256,yes,,,Farnern,,,,,,,34,,4539,Dorfstrasse,,,,,,,,,,,,,,,,,,,,,,Gemeindeverwaltung Farneren,,,,,,defibrillator,144,,,,,,node/3201227964,,,,,,,,,,,,24/7,Gemeindeverwaltung Farneren,,,+41 32 636 23 25,,,,,,,,,,,,
3456075914,node,47.2197076,7.2031406,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/3456075914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491105652,node,46.9485068,7.444988,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marktgasse 44, 3011 Bern",,,,,,,,"AED in Kasten an der Wand im Gebäudeinnern. Im 1. Stock, links neben Eingang Denner. Zugang via Rolltreppe Marktgasse. Bitte Öffnungszeiten beachten.",,,,,,defibrillator,144,,,,,,node/3491105652,,,yes,,,1,,,,,,Mo 09:00-19:00; Tu-We 08:00-19:00; Th 08:00-21:00; Fr 08:00-20:00; Sa 07:30-17:00; Su off; PH off,,,,,,,,,,survey,,,,,,
3523273973,node,46.9476979,7.4428982,permissive,,,Bern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beim Verkaufspersonal melden. - AED im Erdgeschoss im Sanitätszimmer. Zugang via Spitalgasse oder Schauplatzgasse. Bitte Öffnungszeiten beachten.,,,,,,defibrillator,144,,,,0,,node/3523273973,,,yes,,,,,,,,,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 08:00-17:00; Su off,,,,,,,,,,,,,,,,
3523273974,node,46.948819,7.4408851,permissive,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,144,,+41 31 3268080,,,Beim Hotelspersonal melden. - AED im Erdgeschoss im Sanitätszimmer bei der Rezeption. Bitte Öffnungszeiten beachten.,,,,,,defibrillator,144,,,,,,node/3523273974,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/20150608_Schweizerhof_Sicht_Bahnhofplatz_DSC05264.JPG/800px-20150608_Schweizerhof_Sicht_Bahnhofplatz_DSC05264.JPG,,yes,,,,,,,,,24/7,,,,,,,,,,survey,,,,,,"Category:Bahnhofplatz, Bern"
3523477493,node,46.9474294,7.4409892,permissive,,,,,,,0,,,,,,,,,,,,,,,,,,,,"Loeb, Spitalgasse 47-51, 3011 Bern",,,144,,+41 31 3207111,,,Beim Verkaufspersonal melden. - AED im Erdgeschoss im Sanitätszimmer. Zugang via Spitalgasse oder Schauplatzgasse. Bitte Öffnungszeiten beachten.,,,,,,defibrillator,144,,,,,,node/3523477493,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/LoebEgge_7793.jpg/800px-LoebEgge_7793.jpg,,yes,,,,,,,,,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 08:00-17:00; Su off,,,,,,,,,,survey,,,,,,"Category:Bahnhofplatz, Bern"
3526784881,node,46.9476959,7.4393732,permissive,,,,,,,,"Bahnhofplatz 2, 3011 Bern",,,,,,,,,,,,,,,,,,,,,,144,,+41 31 3288700,,,"AED im Erdgeschoss, rechts neben Eingang an der Wand im Empfangsraum. Zugang via Haupteingang Bubenbergplatz. Bitte Öffnungszeiten beachten.",,,,,,defibrillator,144,,,,,,node/3526784881,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Burgerspital_Bubenbergplatz_Bern.jpg/800px-Burgerspital_Bubenbergplatz_Bern.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/AED-Defilibrator_im_Burgerspital.jpg/800px-AED-Defilibrator_im_Burgerspital.jpg,yes,,,,,,,,,Mo-Su 07:30-19:30,Burgerspital Bern,,,,,,,,,survey,,,,,,Category:Burgerspital (Bern)
3526820228,node,46.9481509,7.4513448,permissive,,,,,,,0,,,,,,,,,,,,,,,,,,,,"Kramgasse 16, 3011 Bern",,,144,,+41 58 8554450,,,Beim Bankpersonal melden. - AED im Erdgeschoss. Bitte Öffnungszeiten beachten.,,,,,,defibrillator,144,,,,,,node/3526820228,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/20150529_Kramgasse_16_DSC05258.JPG/800px-20150529_Kramgasse_16_DSC05258.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/20150529_Kramgasse_16_DSC05261.JPG/399px-20150529_Kramgasse_16_DSC05261.JPG,yes,,,,,,,,,"Mo-Fr 09:00-12:00, 13:30-17:00; Sa-Su off; PH off",,,,,,,,,,survey,,,,,,Category:Kramgasse 16 (Bern)
3527744065,node,46.9475313,7.4357127,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,+41 31 6354000,,,"AED im 2. Stockwerk, rechts neben Eingang an der Wand im Empfangsraum Passbüro. Zugang via Treppe oder Lift Eingang Laupenstrasse.",,,,,,defibrillator,144,,,,,,node/3527744065,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/20150607_Laupenstrasse_18a_DSC05282.JPG/399px-20150607_Laupenstrasse_18a_DSC05282.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/20150528_AWZ_Bern_AED_DSC05212.JPG/399px-20150528_AWZ_Bern_AED_DSC05212.JPG,yes,,,,,,,,,Mo-We 08:00-17:00; Th 10:00-19:00; Fr 08:00-16:00; Sa 08:30-13:00,,,,,,,,,,,,,,,,Category:Ausweiszentrum Bern
3529198952,node,46.9521538,7.4160617,yes,,,Bern,,,CH,1,,ewb Besucherzentrum,100,,3008,Murtenstrasse,,,,,,,,,,,,,,,,,144,,+41 31 3219690,,,"AED im Obergeschoss, im linken Korridor hinter dem Empfang des Besucherzentrums. Zugang via Lift oder Treppe und Überführung. Bitte Öffnungszeiten beachten.",,,,,,defibrillator,144,,,,,,node/3529198952,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/20150519_ewb_Zugang_KVA_DSC05196.JPG/800px-20150519_ewb_Zugang_KVA_DSC05196.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/20150519_ewb_AED_DSC05196.JPG/800px-20150519_ewb_AED_DSC05196.JPG,yes,,,,,,,,,"Mo-Fr 10:00-12:00, 13:00-17:00; Sa-Su off; PH off",,,,,,,,,,survey,,,,,,Category:Energie Wasser Bern - ewb
3531515557,node,46.9470403,7.4360494,permissive,,,,,,,0,,,,,,,,,,,,,,,,,,,,"Laupenstrasse 11, 3008 Bern",,,144,,+41 31 3873333,,,Beim Empfangspersonal melden. - AED im Erdgeschoss im Sanitätszimmer neben dem Empfangsraum. Bitte Öffnungszeiten beachten.,,,,,,defibrillator,144,,,,,,node/3531515557,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Suvahaus.jpg/799px-Suvahaus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/20150607_SUVA_Haus_Eingang_DSC05279.JPG/800px-20150607_SUVA_Haus_Eingang_DSC05279.JPG,yes,,,,,,,,,Mo-Fr 08:00-17:00; Sa-Su off; PH off,,,,,,,,,,survey,,,,,,
3531534217,node,46.950201,7.4141863,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,"AED im Erdgeschoss, rechts an der Wand im Empfangsraum. Zugang via Haupteingang Murtenstrasse mit Gegensprechanlage. Bitte Öffnungszeiten beachten.",,,,,,defibrillator,144,,,,,,node/3531534217,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/20150520_SanPol_Zugang_DSC05200.JPG/800px-20150520_SanPol_Zugang_DSC05200.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/20150520_SanPol_AED_DSC05200.JPG/800px-20150520_SanPol_AED_DSC05200.JPG,yes,,,0,,,,,,24/7,Sanitätspolizei der Stadt Bern,,,,,,,,,,,,,,,Category:Sanitätspolizei (Bern)
3532705581,node,46.9426814,7.3861419,yes,,,,,,,0,,,,,,,,,,,,,,,,,,,,,"Brünnenstrasse 66, 3018 Bern",,144,,+41 31 6336001,,,Aussen am Gebäude der Steuerverwaltung,,,,,,defibrillator,144,,,,,,node/3532705581,,,no,,,,,,,,,24/7,"Steuerverw, Kt. Bern",,,,,,,,,,,,,,,
3548635175,node,46.9466358,7.4438875,permissive,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,144,,+41 31 322 23 23,,,Beim Sicherheitspersonal melden,,,,,,defibrillator,144,,,,,,node/3548635175,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
3761795566,node,47.2342203,7.6589755,permissive,,,Wangen an der Aare,,,CH,,,,12,,3380,Bahnhofallee,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/3761795566,,,,,,,,,,,,,Schweizer Armee,,,,,,,,,,,,,,,
4127474779,node,47.2346743,7.679073,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4127474779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4127485066,node,47.2369352,7.6777171,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4127485066,,,yes,,,,,,,,,,Schweizer Armee,,,,,,,,,,,,,,,
4127560716,node,47.2390954,7.6713268,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4127560716,,,,,,,,,,,,,Schweizer Armee,,,,,,,,,,,,,,,
4353787897,node,46.6174767,8.0564963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neben Kasse Bergbahn,,,,,,defibrillator,144,,,,,,node/4353787897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4540248425,node,47.2371301,7.6602122,permissive,,,Wangen an der Aare,,,CH,,,,24,,3380,Schachenstrasse,,,,,,,,,,,,,,,,,,,,,,Schwimmbad,,,,,,defibrillator,144,,,,,,node/4540248425,,,,,,,,,,,,,Gemeinde Wangen an der Aare,,,+41 32 631 10 41,,,,,,,,,,,,
4581540073,node,46.4987584,7.5456343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4581540073,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4585510381,node,46.496603,7.4237945,yes,,,Matten St. Stephan,,,,,,,25a,,3773,Dorfstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4585510381,,,,,,,,,,,,24/7,Ghüderhüüsli,,,,,,,,,,,,,,,
4589240465,node,46.4912255,7.5617978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,während Öffnungszeiten verfügbar,,,defibrillator,144,,,,,,node/4589240465,,,yes,,,,,,,,,,Freizeit und Sportarena Adelboden,,,,,,,,,,,,,,,
4674286555,node,47.2463083,7.6587215,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4674286555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4674286556,node,47.2435456,7.6581144,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4674286556,,,yes,,,0,,,,,,,defibrillator.ch,,,,,,,,,,,,,,,
4674286557,node,47.2387228,7.6639892,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4674286557,,,,,,,,,,,,,Schweizer Armee,,,,,,,,,,,,,,,
4674286558,node,47.2391745,7.6612883,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4674286558,,,,,,,,,,,,,Schweizer Armee,,,,,,,,,,,,,,,
4674286559,node,47.2371205,7.6663547,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4674286559,,,,,,,,,,,,,Schweizer Armee,,,,,,,,,,,,,,,
4674286560,node,47.2360935,7.6553712,permissive,,,Wangen an der Aare,,,CH,,,,12,,3380,Weihergasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4674286560,,,,,,,,,,,,,Schweizer Armee,,,,,,,,,survey,,,,,,
4674286561,node,47.2359929,7.6643145,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4674286561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4674286562,node,47.2364481,7.6635356,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4674286562,,,,,,,,,,,,,Schweizer Armee,,,,,,,,,,,,,,,
4674324014,node,47.2316056,7.6570988,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4674324014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
