osm_id,osm_type,lat,lon,access,addr:housenumber,addr:street,check_date,defibrillator:location,description,email,emergency,emergency:phone,fixme,id,indoor,latitude,level,longitude,name,opening_hours,operator,phone,postal_code,ref,source,wheelchair,wikimedia_commons
3361809293,node,47.5459525,7.5884023,yes,,,,Bahnhof SBB Passarelle Eingang Süd bei Dosenbach,,,defibrillator,144,,node/3361809293,yes,,1,,,24/7,,,,,,limited,
4313408793,node,47.546757,7.5847019,,,,,"Attached to pillar in the middle of the Ibis lobby, just inside the main entrance.",,,defibrillator,144,,node/4313408793,yes,,,,,,,,,,,,
4316234217,node,47.5488976,7.5823325,,,,,"Zoo Basel, Haupteingang, unmittelbar nach der Kasse an Hausecke",,,defibrillator,144,,node/4316234217,yes,,,,,24/7,Zoo Basel,+41 61 295 35 35,,,,,
4926738436,node,47.560014,7.6099661,,,,,,,,defibrillator,144,,node/4926738436,yes,,,,,,,,,,,,
6251274093,node,47.5615179,7.5817814,permissive,,,,Neben der Geschirrrückgae,,,defibrillator,144,,node/6251274093,yes,,,,,,,,,,,,
7726925169,node,47.5743,7.60849,,,,,,,,defibrillator,144,,node/7726925169,,,,,,,,,,,,,
7727020234,node,47.5745,7.60485,yes,,,,Am linken Ende des Restaurant an der Wand,24/7,,defibrillator,144,,node/7727020234,no,,,,,24/7,Lange Erlen,,,,,,
8173665988,node,47.5665159,7.6024398,no,,,,6.60,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,node/8173665988,yes,,,,,,ETH Zürich,+41 44 342 11 88,,,,,
8590117259,node,47.5853313,7.6517484,yes,,,,Zwischen den Kassen und Pflanzen,,,defibrillator,144,,node/8590117259,yes,,0,,,"Mo-Fr 08:00-19:00, Sa 07:30-18:00; PH off",Genossenschaft Migros Basel,+41 58 575 83 80,,,,yes,
8746933062,node,47.5845825,7.6514488,,,,,Gemeinde Riehen Aussen vor dem Eingang,,,defibrillator,144,,node/8746933062,no,,,,,24/7,,,,,,,
