osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,bicycle,check_date,colour,covered,defibrillator:location,defibrillator:location:fr,description,emergency,emergency:phone,foot,horse,id,indoor,latitude,layer,level,longitude,motor_vehicle,name,name:en,opening_hours,operator,operator:phone,operator:wikidata,phone,phone:CH,ref,source,support,survey:date,wheelchair
2246047716,node,46.8547972,7.2297071,yes,,,,,,,,,Am Gebäude der Firma Jörg & Co. Metallbau AG,,,defibrillator,144,,,node/2246047716,no,,,,,,,,24/7,,,,,,,,,,
2861933760,node,46.9749165,7.198529,yes,Kerzers,5,3210,Vordere Gasse,,,,,Eingang Gebäude,,Grüner Kasten,defibrillator,144,,,node/2861933760,no,,,0,,,Gemeinde Kerzers FR,,24/7,Lifetec AG,,,,0800122144,1625LTS,,,,
4738423504,node,46.8258118,7.3010113,,,,,,no,,,,,,Türautomat Knopf links von Türe,defibrillator,144,yes,no,node/4738423504,yes,,,,,no,Defibrillator,,,,,,,,,,,,
4783026180,node,46.7937048,7.1568378,private,,,,,,,,,,,,defibrillator,144,,,node/4783026180,,,,0,,,,,,,,,,,,,,,yes
4783196007,node,46.8021295,7.1655386,yes,,,,,,,,,"outside, next to building entry",,,defibrillator,144,,,node/4783196007,,,,0,,,,,,,,,+41 21 637 02 30,,,,,,yes
5141600056,node,46.9240925,6.9542825,,,,,,,,,,,,,defibrillator,144,,,node/5141600056,,,,,,,,,,,,,,,,,,,
5566386285,node,46.5602474,7.0383308,yes,,,,,,,,,,,,defibrillator,144,,,node/5566386285,no,,,,,,,,24/7,,,,,,,,,,
5633451554,node,46.9019883,7.230025,,,,,,,,,,Eingangsbereich BEO-Funpark,,,defibrillator,144,,,node/5633451554,yes,,,,,,,,,,,,,,,,,,
6341518287,node,46.6037316,6.8640941,,,,,,,,,,,,,defibrillator,144,,,node/6341518287,,,,,,,,,,,,,,,,,,,
6703466457,node,46.8029994,7.1500212,,,,,,,,,,,,Wall mounted.,defibrillator,144,,,node/6703466457,,,-1,,,,,,,,,,,,,,,,
