osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,defibrillator:location,defibrillator:location:de,defibrillator:location:fr,description,emergency,emergency:phone,fixme,id,indoor,latitude,level,longitude,name,opening_hours,operator,phone,phone:CH,ref,source,survey:date,wheelchair
2487916019,node,46.2166449,6.0845151,,,,,,,,,,defibrillator,144,,node/2487916019,,,,,,Mo-Fr 08:30-20:00,,,,,,,
2633725638,node,46.1982109,6.1323997,,,,,,"Dans la cafétéria, près de ""Loge"". / In the cafeteria, near ""Loge"".",,,,defibrillator,144,,node/2633725638,yes,,,,,,UniGE,,,,,,
3750895072,node,46.2297282,6.0546231,,,,,,To your left as you enter behind the counter,,,,defibrillator,144,,node/3750895072,yes,,,,,,,,,,https://cdsweb.cern.ch/journal/CERNBulletin/2010/12/News%20Articles/1248912?ln=en,,
3750895073,node,46.2299465,6.0540739,,,,,,To the left at the hostel reception,,,,defibrillator,144,,node/3750895073,yes,,,,,,,,,,https://cdsweb.cern.ch/journal/CERNBulletin/2010/12/News%20Articles/1248912?ln=en,,
3750895074,node,46.2314105,6.0542562,,,,,,"Across from the bank, at the right-hand pillar as you go up the stairs to the amphitheatre",,,,defibrillator,144,,node/3750895074,yes,,,,,,,,,,,,
3750895075,node,46.2318558,6.0447571,,,,,,To your left as you go up to INTERFON,,,,defibrillator,144,,node/3750895075,yes,,,,,,,,,,https://cdsweb.cern.ch/journal/CERNBulletin/2010/12/News%20Articles/1248912?ln=en,,
3750895076,node,46.232971,6.0556575,,,,,,"to the left of the CERN shop, at the Microcosm entrance",,,,defibrillator,144,,node/3750895076,yes,,,,,,,,,,https://cdsweb.cern.ch/journal/CERNBulletin/2010/12/News%20Articles/1248912?ln=en,,
3750895077,node,46.2339397,6.055592,,,,,,"upper level, next to the pharmacy and telephone",,,,defibrillator,144,Is this still here now that the globe is closed / under construction?,node/3750895077,yes,,,,,,,,,,https://cdsweb.cern.ch/journal/CERNBulletin/2010/12/News%20Articles/1248912?ln=en,,
3783215141,node,46.2353405,6.0551768,,,,,,3125 / U0-202,,,,defibrillator,144,,node/3783215141,,,,,,,,,,,maps.cern.ch,,
6378722785,node,46.1678783,6.1188975,,,,,,A droite de l'entrée principale de la salle communale,,,,defibrillator,144,,node/6378722785,no,,,,,,,,,,,,
6645050085,node,46.1729396,6.1173858,,,,,,,,,,defibrillator,144,,node/6645050085,,,,,,,,,,,,,
6765479185,node,46.1883115,6.1004212,,,,,,,,,,defibrillator,144,position,node/6765479185,,,,,,24/7,,,,,,,
6765479285,node,46.1831195,6.1002439,,,,,,,,,,defibrillator,144,,node/6765479285,no,,,,,24/7,,,,,,,
6765479286,node,46.1918449,6.1034423,,,,,,,,,,defibrillator,144,,node/6765479286,,,,,,,,,,,,,
6887079944,node,46.2106145,6.1432496,,,,,,,,,,defibrillator,144,,node/6887079944,yes,,,,,,Migros,,,,,,
6982289585,node,46.2053421,6.1564035,,,,,,,,,,defibrillator,144,,node/6982289585,yes,,,,,,,,,,,,
8727452106,node,46.1871606,6.1038469,,,,,,,,,,defibrillator,144,,node/8727452106,no,,,,,,,,,,,,
8990455117,node,46.2304293,6.1083098,no,,,,,Arrival hall,,,,defibrillator,144,,node/8990455117,no,,,,,,,,,,,,
9026308601,node,46.2355111,6.0558119,,,,,,3162/R-D01,,,,defibrillator,144,,node/9026308601,,,,,,,,,,,,,
9123620819,node,46.1818759,6.0768947,,,,,,bâtiment administratif OCPPAM,,,pendant les heures de travail,defibrillator,144,,node/9123620819,yes,,,,,lu-ve; 08:00-17:00,OCPPAM,,,,,,
9177599290,node,46.1578138,6.0777006,,,,,,,,,,defibrillator,144,,node/9177599290,no,,,,,,,,,,,,
9179598206,node,46.3012725,6.2440102,,,,,,Sous le porche.,,,,defibrillator,144,,node/9179598206,no,,,,,,,,,,,,
9263258726,node,46.2032817,6.1377914,yes,,,,,Administration side,,,,defibrillator,144,,node/9263258726,yes,,,,,Mo-Su 10:00-23:00,JUSTEATTAKEAWAY.COM,+41796934592,,,,,
9369810947,node,46.1709529,6.1288984,,,,,,,,,,defibrillator,144,,node/9369810947,yes,,,,,,,,,,,,
9439777753,node,46.1618812,5.9801629,yes,,,,,abri ALST,,,für Benützer des Übungsdorfes,defibrillator,144,,node/9439777753,no,,,,,,"Wpl Genf, pl A Genève",,,,,,
9490865717,node,46.214992,6.1493642,yes,,,,,Reception of the youth hostel,Rezeption der Jugendherberge,réception de l‘auberge de jeunesse,,defibrillator,144,,node/9490865717,yes,,,,,,,,,,,,
9498474646,node,46.2037435,6.1499334,,,,,,Bei Bucherer,,,,defibrillator,144,,node/9498474646,yes,,,,,Mo-Sa 10:00-18:00,Bucherer SA,,,,,,
9509027159,node,46.2637227,6.200127,,,,,,sur la facade du bloc sanitaires,,,,defibrillator,144,,node/9509027159,no,,,,,,,,,,,2022-02-15,
9610947189,node,46.2889775,6.170342,,,,,,,,,,defibrillator,144,,node/9610947189,no,,,,,,,,,,,,
9679169936,node,46.2111795,6.1440678,,,,,,DAns le dépot de la réception,,,,defibrillator,144,,node/9679169936,yes,,,,,"Mo-Fr 08:30-12:00, 14:00-17:00",,,,,,,
9776519317,node,46.2185091,6.0803507,yes,,,,,centre d‘entretien Vernier,,,heures ouvrables,defibrillator,144,,node/9776519317,no,,,,,Lu-Ve 07:00-17:00,commune Vernier,,,,,,
9805534222,node,46.1618284,6.0944412,,,,,,,,,,defibrillator,144,,node/9805534222,,,,,,,,,,,,,
9846997617,node,46.1743975,6.0720603,yes,,,,,Mairie Bernex,,,a l’entrée de la mairie,defibrillator,144,,node/9846997617,no,,,,,,Bernex ,,,,,,
9850658117,node,46.2345082,6.0962476,,,,,,cantonnement troupe Meyrin Mategnin,,,seulement pour la troupe ou le locataire de l’infrastructure,defibrillator,144,,node/9850658117,no,,,,,24/7,Armée Suisse / CLCM,,,,,,
