osm_id,osm_type,lat,lon,access,access:conditional,access:note,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,contact:phone,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,description,emergency,emergency:amenity,emergency:phone,emergency_telephone_code,entrance,fixme,id,image,image:license,indoor,latitude,layer,level,longitude,name,opening_hours,operator,operator:wikidata,operator:wikipedia,phone,postal_code,ref,source,support,wheelchair
1372175088,node,46.8692448,9.8809881,yes,,,,,,,,,,Beim AG Gleis 1,,,,defibrillator,,144,,,,node/1372175088,,,no,,,0,,,24/7,Rhätische Bahn AG,,,+41 81 288 65 65,,,,,yes
2396211922,node,46.6180152,9.1803021,yes,,,,,,,2025-02-19,,,Dorfplatz Vals,,,An der Hauswand,defibrillator,,144,,,,node/2396211922,,,no,,,0,,,24/7,First Responder+ Vals,,,,,,,,yes
2502041058,node,46.8566107,9.8827253,yes,,,,,,,,,,Beim AG neben WC,,,,defibrillator,,144,,,,node/2502041058,,,no,,,0,,,24/7,Rhätische Bahn AG,,,+41 81 288 65 65,,,,,
4224249491,node,46.8570605,9.5273101,yes,,,,,,,,,,Beim Hauseingang,,,,defibrillator,,144,,,,node/4224249491,,,,,,0,,,24/7,,,,,,,,,
4903755235,node,46.6504318,9.4250036,yes,,,,,,,2024-05-25,,,Bei der Posthaltestelle im öffentlichen WC,,,,defibrillator,,144,,,,node/4903755235,,,yes,,,,,,24/7,First Responder Schams,,,,,,,,
5174396825,node,46.7771654,9.6753537,yes,,,,,,,,,,"Evangelisches Kirchgemeindehaus
An der Aussenwand",An der Außenwand,,,defibrillator,,144,,,,node/5174396825,,,,,,,,,24/7,Gemeinde,,,,,,,,
5276056433,node,46.7050988,8.855391,yes,,,,,,,,,,Beim AG Gleis 1,,,,defibrillator,,144,,,,node/5276056433,,,no,,,,,,24/7,Rhätische Bahn AG,,,+41 81 288 65 65,,,,,yes
5310338121,node,46.7752175,9.2075029,yes,,,,,,,,,,Beim AgG Seite Kiosk,,,Alarm gesichert und Öffentlich zugänglich,defibrillator,,144,,,,node/5310338121,,,no,,,0,,,24/7,Rhätische Bahn AG,,,+41 81 288 65 65,,,,,
5462958966,node,46.7264067,9.5572099,yes,,,,,,,,,,Ca. 20 Meter vor dem Gemeindehaus bei den Informationstafeln/Fahnen.,,,Immer verfügbar,defibrillator,,144,,,,node/5462958966,,,no,,,0,,,24/7,Gemeinde Vaz/Obervaz,,,,,,,,yes
5858912417,node,46.4565727,9.7953022,yes,,,,,,,,,,"Sportanlage Mulets, Via Mulets 9
beim Eingang UG (Sportplätze) an der Wand montiert
1263LTM",,,Oranger Koffer,defibrillator,,144,,yes,,node/5858912417,,,yes,,0,,,Gemeinde Silvaplana,,lifetec AG Schweiz,,,+41 81 838 70 80,,,,,
