osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,defibrillator:location,description,email,emergency,emergency:phone,id,indoor,level,name,opening_hours,operator,phone,ref,source,wheelchair
6635063456,node,47.2808332,7.3731077,permissive,Moutier,30c,2740,Rue du Château,,"Bâtiment administratif, 1er étage à côté de la fenêtre ouest",,,defibrillator,144,node/6635063456,,,,"Mo-Fr 08:00-12:00, 13:00-17:00",Intendance des impôts du canton de Berne,+41 31 633 96 00,,,
6635063458,node,47.2716436,7.3630229,yes,Moutier,111,2740,Rue Industrielle,,A la réception du bâtiment administratif,,,defibrillator,144,node/6635063458,,,,24/7,Tornos SA,+41 32 494 44 44,,,
6635063460,node,47.2775905,7.3730833,permissive,Moutier,21,2740,Viaduc,,,,,defibrillator,144,node/6635063460,,,,"Mo-Fr 06:45-12:00, 12:45-16:00",Michel Imhof SA,+41 32 493 31 04,,,
8728595876,node,47.2805841,7.3727754,permissive,Moutier,30,2740,Rue du Château,,,,,defibrillator,144,node/8728595876,,,,"Mo-Th 08:30-11:30, 14:00-17:30, Fr 08:30-11:30, 14:00-17:00, Sa 09:00-11:00",Polizeiwache Moutier,+41 31 638 80 00,,,
8728645201,node,47.265808,7.3581304,yes,Moutier,71,2740,Quartier de la Verrerie,,,,,defibrillator,144,node/8728645201,,,,24/7,Precidec Sàrl,+41 32 493 58 62,,,
8851322139,node,47.3287145,7.4751753,yes,,,,,,,,,defibrillator,144,node/8851322139,,,,24/7,,,,,no
9157207016,node,47.33448,7.20558,yes,Glovelier,,2855,,,,,,defibrillator,144,node/9157207016,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256917,node,47.3392182,7.244935,yes,Bassecourt,,2854,,,,,,defibrillator,144,node/9157256917,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256918,node,47.33853,7.23789,yes,Bassecourt,,2854,,,,,,defibrillator,144,node/9157256918,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256919,node,47.3404196,7.2515422,yes,Bassecourt,,2854,,,,,,defibrillator,144,node/9157256919,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256920,node,47.33544,7.27598,yes,Courfaivre,,2853,,,,,,defibrillator,144,node/9157256920,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256921,node,47.3181132,7.1513515,yes,Sceut,,2855,,,,,,defibrillator,144,node/9157256921,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256922,node,47.33609,7.24374,yes,Bassecourt,,2854,,,,,,defibrillator,144,node/9157256922,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256923,node,47.32754,7.22386,yes,Berlincourt,,2854,,,,,,defibrillator,144,node/9157256923,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256924,node,47.33474,7.28454,yes,Courfaivre,,2853,,,,,,defibrillator,144,node/9157256924,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256925,node,47.30341,7.27051,yes,Soulce,,2864,,,,,,defibrillator,144,node/9157256925,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256926,node,47.3034,7.22393,yes,Undervelier,,2863,,,,,,defibrillator,144,node/9157256926,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256927,node,47.3336,7.19743,yes,Glovelier,,2855,,,,,,defibrillator,144,node/9157256927,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256928,node,47.3336537,7.2884426,yes,Courfaivre,,2853,,,,,,defibrillator,144,node/9157256928,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256929,node,47.3337691,7.2377942,yes,Bassecourt,,2854,,,,,,defibrillator,144,node/9157256929,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256930,node,47.3459151,7.3460786,yes,Rossemaison,,2842,,,,,,defibrillator,144,node/9157256930,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256931,node,47.3979839,7.3197044,yes,Mettembert,,2806,,,,,,defibrillator,144,node/9157256931,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256932,node,47.3602571,7.3917061,yes,Courcelon,,2823,,,façade école,,,defibrillator,144,node/9157256932,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256933,node,47.3908435,7.0389374,yes,Bressaucourt,,2904,,,Façade maison,,,defibrillator,144,node/9157256933,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256934,node,47.39831,7.0775399,yes,Fontenais,,2902,,,façade entrepot,,,defibrillator,144,node/9157256934,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256935,node,47.3593037,7.3453734,yes,Delémont,,2800,,,Façade transformateur BKW,,,defibrillator,144,node/9157256935,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256936,node,47.3663492,7.3536638,yes,Delémont,,2800,,,Façade ouest bâtiment,,,defibrillator,144,node/9157256936,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256937,node,47.3713306,7.3553126,yes,Delémont,,2800,,,Façade nord école,,,defibrillator,144,node/9157256937,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256938,node,47.3622498,7.3506155,yes,Delémont,,2800,,2026-02-07,Point taxi,,,defibrillator,144,node/9157256938,no,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256939,node,47.3668854,7.3334213,yes,Delémont,,2800,,,Façade du transformateur,,,defibrillator,144,node/9157256939,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256940,node,47.3627475,7.3405368,yes,Delémont,,2800,,,Dans abribus,,,defibrillator,144,node/9157256940,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256941,node,47.3652262,7.3441597,yes,Delémont,,2800,,,Façade nord sous couvert,,,defibrillator,144,node/9157256941,no,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256942,node,47.419656,7.058821,yes,Porrentruy,,2900,,,entrée principale,,,defibrillator,144,node/9157256942,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256943,node,47.35284,7.41154,yes,Vicques,,2824,,,Façade du Bâtiment,,,defibrillator,144,node/9157256943,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256944,node,47.34801,7.404476,yes,Vicques,,2824,,,Entrée principale du bâtiment,,,defibrillator,144,node/9157256944,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256945,node,47.34817,7.41498,yes,Vicques,,2824,,,Entrée principale du bâtiment,,,defibrillator,144,node/9157256945,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256946,node,47.328713,7.4751408,yes,Vermes,,2829,,,Façade du Bâtiment,,,defibrillator,144,node/9157256946,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256947,node,47.4505184,7.1483721,yes,Vendlincourt,,2943,,2024-07-25,facade du bâtiment voierie,,,defibrillator,144,node/9157256947,no,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256948,node,47.31909,7.37094,yes,Vellerat,,2830,,,Façade ouest du Restaurant,,,defibrillator,144,node/9157256948,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
9157256949,node,47.3923568,7.3700076,yes,Soyhières,,2805,,,Vers l'entrée,,,defibrillator,144,node/9157256949,,,,24/7,Fondation RéaJura Cœur,+41 79 414 74 11,,,
