osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,check_date,defibrillator:location,defibrillator:location:fr,description,email,emergency,emergency:phone,id,indoor,level,name,opening_hours,operator,phone,phone:CH,ref,social_facility,social_facility:for,source,website,wheelchair
2296251595,node,47.0060596,7.0089981,no,,,,,,,Dans l'unité F1. / In unit F1.,,Pas d'accès car la salle est fermée. / Not accessible because the room is locked.,,defibrillator,144,node/2296251595,yes,,,,,,,,,,,,
3687707949,node,47.103092,6.8326725,,,,,,,,,,,,defibrillator,144,node/3687707949,no,,,24/7,,,,,,,,,
5239665922,node,47.0568597,6.7356714,,,,,,social_facility,,,,,,defibrillator,144,node/5239665922,,,EMS Les Fritillaires,,,+41 32 933 94 60,,,nursing_home,senior,,http://www.lesFritillaires.ch,
8174524930,node,46.9788144,6.8975667,,,,,,,,,,,,defibrillator,144,node/8174524930,yes,0,,,,,,,,,,,
8542648117,node,47.0103045,6.9858462,yes,,,,,,,Capitainerie du port,,"En extérieur, dans caisson à côté de l'entrée du bâtiment. ",,defibrillator,144,node/8542648117,no,,,24/7,Commune de St-Blaise,+41 32 886 49 66,,,,,,,
8577501996,node,46.9624604,6.8681745,yes,,,,,,,"A l'entrée du bâtiment A, juste derrière la porte coulissante vitrée.",,24h verfügbar / disponible 24h/24,,defibrillator,144,node/8577501996,yes,,,24/7,"CPNE BC, Colombier",+41 32 843 48 00,,,,,,,
8783193999,node,47.0597057,6.9021488,yes,,,,,,,,,,,defibrillator,144,node/8783193999,no,,,,,,,,,,,,yes
8808412875,node,47.1041695,6.8316053,yes,,,,,,,,,,,defibrillator,144,node/8808412875,,,,24/7,,,,,,,,,
8979541297,node,47.1049426,6.8274331,yes,,,,,,,,,,,defibrillator,144,node/8979541297,yes,,,,,,,,,,,,yes
8979541306,node,47.0956596,6.828895,yes,,,,,,,Devant les caisses,,,,defibrillator,144,node/8979541306,,,,24/7,,,,,,,,,yes
8979541308,node,47.1078084,6.8242892,yes,,,,,,,Dans le hall,,,,defibrillator,144,node/8979541308,yes,,,,,,,,,,,,
8979541576,node,47.1057622,6.8443339,yes,,,,,,,,,,,defibrillator,144,node/8979541576,yes,0,,,,,,,,,,,
8983936354,node,47.1058524,6.8224252,yes,,,,,,,,,,,defibrillator,144,node/8983936354,,,,,swiss defibrillator,,,,,,,,
8983936386,node,47.1040548,6.8295643,,,,,,,,,,,,defibrillator,144,node/8983936386,yes,0,,,,,,,,,,,
8985498716,node,47.1043304,6.8262754,yes,,,,,,,A gauche de la porte d'entrée,,,,defibrillator,144,node/8985498716,,0,,,,,,,,,,,yes
9124792249,node,47.1123214,6.8365544,customers,,,,,,,,,,,defibrillator,144,node/9124792249,yes,0,,,,,,,,,,,
9684574891,node,47.0061361,6.9636208,,,,,,,,Dans le bâtiment - im Gebäude,,während Öffnungszeiten verfügbar,,defibrillator,144,node/9684574891,yes,,,,,,,,,,,,
9719961958,node,46.9969817,6.937701,,,,,,,,Neben dem Lift,,nur mit Zugangskarte erreichbar,,defibrillator,144,node/9719961958,yes,7,,24/7,Bundesamt für Statistik (BfS),,,,,,,,limited
