osm_id,osm_type,lat,lon,access,defibrillator:location,description,emergency,emergency:phone,id,indoor,level,name,opening_hours,operator,phone,source,wheelchair
3981860525,node,46.8962894,8.2454887,,"Spritzenhaus, rechts neben Tor",,defibrillator,144,node/3981860525,no,0,,24/7,Gemeinde Sarnen,,,
6834528285,node,46.7892768,8.1294483,yes,365 T/J zugänglich,,defibrillator,144,node/6834528285,no,0,,24/7,Härz fir Obwaldä,+41 79 961 62 41,,
7580385818,node,46.9121729,8.2624657,yes,Beim Kanal,,defibrillator,144,node/7580385818,,,,24/7,,,,
7580387589,node,46.8660303,8.2360446,private,Im Schulhaus (während Schulbetrieb),,defibrillator,144,node/7580387589,,,,Mo-Fr 07:30-16:30,,,,
7637818505,node,46.8924016,8.2433682,,,Foyer Eingang Halle 4,defibrillator,144,node/7637818505,,,3-fach Turnhalle,,,,,
7637818506,node,46.8971584,8.2487413,,,Hintereingang,defibrillator,144,node/7637818506,,,Behindertenwerkstätte Hüetli,,,,,
7637818507,node,46.8974657,8.2488127,,,,defibrillator,144,node/7637818507,,,,,"Britschgi Franz, Praxis",,,
7637818508,node,46.8944019,8.2480174,,,Eingang re. hinter der Türe,defibrillator,144,node/7637818508,yes,,BWZ Obwalden,,,,,
7637818510,node,46.8919821,8.2492801,,,Amt für Wald und Landschaft / Eingang re.,defibrillator,144,node/7637818510,,,Kantonale Verwaltung,,,,,
7637818511,node,46.8920562,8.2489794,,,Hoch- und Tiefbauamt / 1. Stock li.,defibrillator,144,node/7637818511,,,Kantonale Verwaltung,,,,,
7637818512,node,46.892512,8.2443015,,,Foyer Eingang Mensa,defibrillator,144,node/7637818512,,,Kantonschule,,,,,
7637818513,node,46.895636,8.2465005,,,re. vom Gerichtssaal,defibrillator,144,node/7637818513,,,Kantonsgericht,,,,,
7637818514,node,46.8990317,8.2497144,,,Eingang Fitnessraum,defibrillator,144,node/7637818514,,,Medical Fitness AG Sarnen,,,,,
7637818515,node,46.8970349,8.2496712,,,Betriebssanität,defibrillator,144,node/7637818515,,,Migros Center,,,,,
7637818516,node,46.8974781,8.2488118,,,,defibrillator,144,node/7637818516,,,,,Pfister Markus HNO Praxis,,,
7637818517,node,46.8900797,8.2460628,,,Stationsszimmer,defibrillator,144,node/7637818517,,,Psychiatrie KS Sarnen,,,,,
7637818518,node,46.9016446,8.2516569,,,Betriebssanität,defibrillator,144,node/7637818518,,,Sika Sarnafil Allmend 1,,,,,
7637818519,node,46.895589,8.2455156,,,Empfang hinter Türe,defibrillator,144,node/7637818519,,,Staatskanzlei Rathaus,,,,,
7637818520,node,46.8948085,8.249034,,,Eingangshalle,defibrillator,144,node/7637818520,,,Steuerverwaltung,,,,,
7637818521,node,46.8965563,8.2537323,,,Bürogebäude,defibrillator,144,node/7637818521,,,Strasseninspektorat,,,,,
7637818522,node,46.9048899,8.2545017,,,2. OG Eingang Fitnesscenter,defibrillator,144,node/7637818522,,,TopGym Fitnesscenter GmbH,,,,,
7637818523,node,46.8814894,8.2523232,,,Haus 1 Gemeinschaftstrakt/ Verbindungsgeschoss,defibrillator,144,node/7637818523,,,Behindertenheim Rütimattli,,,,,
7637818524,node,46.865135,8.2331237,,,Betriebssanität,defibrillator,144,node/7637818524,no,,Bio Familia,,,,,
7637818525,node,46.8597705,8.2283626,,,Schichtführerbüro / Kunststoffspritzguss,defibrillator,144,node/7637818525,,,Elfo AG,,,,,
7637818526,node,46.859767,8.2210185,,,1x Empfang 1x Sanität TCIII,defibrillator,144,node/7637818526,,,maxon,,,,,
7637818614,node,46.8019997,8.278778,,,Sanitätsraum,defibrillator,144,node/7637818614,,,Talstation Stöckalp,,,,,
7637818615,node,46.7745184,8.2685874,yes,Melchsee-Frutt (alte Bergstation),bei Infobüro,defibrillator,144,node/7637818615,yes,0,,24/7,Sportbahnen Melchsee-Frutt,+41 41 669 70 60,,limited
7637818616,node,46.7739958,8.2700625,private,Frutt Lodge & Spa Empfang,Rezeption,defibrillator,144,node/7637818616,yes,0,Frutt Mountain Resort,24/7,Frutt Mountain Resort,+41 41 669 79 79,,no
7637818832,node,46.7771871,8.1410885,yes,Eingang Brünig Indoor,Haupteingang,defibrillator,144,node/7637818832,yes,0,Brünig Indoor,24/7,Gasser Felstechnik,+41 79 961 62 41,,
7637818833,node,46.7810907,8.1564301,,,First Responder Tresor,defibrillator,144,node/7637818833,,,Holzbau AG,,,,,
7637818835,node,46.7778548,8.1430046,,,,defibrillator,144,node/7637818835,,,HP Gasser AG,,,,,
7637818853,node,46.9795548,8.2552628,yes,"Pilatus Kulm, Neben Uhren",,defibrillator,144,node/7637818853,yes,0,Pilatusbahn Pilatus-Kulm,24/7,Pilatus-Bahnen AG,+41 41 329 11 11,,limited
7637818865,node,46.8996535,8.2671528,,,Kasse Eingang,defibrillator,144,node/7637818865,,,Aqua Center,,,,,
7637818866,node,46.9048405,8.2750555,yes,,"EG, Restaurant, gegenüber Damentoilette",defibrillator,144,node/7637818866,,,Betagtensiedlung Huwel,24/7,,,,
7637818868,node,46.9023957,8.2747812,,,Innenhof Spänesilo,defibrillator,144,node/7637818868,,,Holzbau Bucher AG,,,,,
7637818885,node,46.911786,8.2612881,yes,,Aussenseite Büroeingang,defibrillator,144,node/7637818885,,,von Atzigen AG,24/7,,,,
7637818953,node,46.8222822,8.1749584,no,,KW Unteraa,defibrillator,144,node/7637818953,yes,,Elektrizitätswerk Obwalden,,,,,
7637818954,node,46.8225543,8.1740573,yes,,Alte Kraftwerkszentrale «Turbine» (neben Haupteingang),defibrillator,144,node/7637818954,,,Elektrizitätswerk Obwalden,24/7,,,,
7637818970,node,46.873496,8.2705543,,,HotelRezeption,defibrillator,144,node/7637818970,,,"Paxmontana, Hotel",,,,,
7637819004,node,46.7707096,8.423217,,,EG vor dem Sanitätsraum,defibrillator,144,node/7637819004,,,Bergstation Titlisbahn,,,,,
7637819005,node,46.8323845,8.4076972,,,Bergstation Kassenraum,defibrillator,144,node/7637819005,,,Brunni-Bahnen Bergstation Ristis,,,,,
7637819007,node,46.8070533,8.4347034,,,im Clubhaus,defibrillator,144,node/7637819007,,,Golfclub Engelberg,,,,,
7637819009,node,46.8179446,8.404828,,draussen beim Haupteingang,,defibrillator,144,node/7637819009,no,,Sporting Park,24/7,,,,
7637819012,node,46.8162014,8.3958613,,,Eingang Kasse / Drehkreuz,defibrillator,144,node/7637819012,,,Talstation Titlis-Bahn,,,,,
7637819013,node,46.8160923,8.3955022,,Beim Drehkreuz der Standseilbahn,,defibrillator,144,node/7637819013,,,Bergbahnen Engelberg-Trübsee-Ttilis AG,,,,,
7637819014,node,46.812682,8.392482,,links der Kasse beim ausstieg Standseilbahn,,defibrillator,144,node/7637819014,,,Bergbahnen Engelberg-Trübsee-Ttilis AG,,,,,
7637819015,node,46.7707973,8.4228731,,Rechts der Türe des Sanitätszimmers,,defibrillator,144,node/7637819015,,,Bergbahnen Engelberg-Trübsee-Ttilis AG,,,,,
7637819016,node,46.8227921,8.4008103,,"Bei der Reception, Personal fragen",,defibrillator,144,node/7637819016,,,Titlis Terrace,,,,,
7637819017,node,46.8209964,8.4078285,yes,Haupteingang neben dem Briefkasten der Post,,defibrillator,144,node/7637819017,no,,,24/7,Einwohnergemeinde Engelberg,,,yes
7637819018,node,46.8167829,8.411887,yes,"Mehrzweckanlage Feuerwehr, Abgang Sportplatz, bei Parkuhr",,defibrillator,144,node/7637819018,no,,Einwohnergemeinde Engelberg,,Einwohnergmeinde Engelberg,,,
7637819168,node,46.938201,8.275519,,Werkstatt,,defibrillator,144,node/7637819168,,,Ulrich & Hefti AG,,,,,
7637819169,node,46.9375364,8.2706261,,,Betriebssanität,defibrillator,144,node/7637819169,,,Alpnach Norm,,,,,
7637819170,node,46.9423897,8.2769178,,,"Im Haupteingang (Schleuse, linke Seite)",defibrillator,144,node/7637819170,,,Allmendpark Alpnach,,,,,
7637819171,node,46.9439873,8.2864487,yes,,"Loge, Schalter",defibrillator,144,node/7637819171,,,Militärflugplatz Alpnach,24/7,,,,
7637819172,node,46.9414588,8.276755,,,,defibrillator,144,node/7637819172,,,Physical Center Mavric AG,,,,,
8341346002,node,46.8375149,8.1862575,yes,Vor der Coop Filiale,,defibrillator,144,node/8341346002,no,,,24/7,Härz fir Obwaldä,+41 79 961 62 41,,
8481826932,node,46.9411336,8.273265,yes,Haupteingang des Gemeindehaus,,defibrillator,144,node/8481826932,no,,,24/7,Gemeinde Alpnach,,,
8547989330,node,46.8098534,8.4230011,yes,Auf der linken Seite des Hoteleingang,,defibrillator,144,node/8547989330,no,,,24/7,"Christian Brechbühl, Geschäftsführer",+41 41 637 19 49,,
8752746618,node,46.8135092,8.1729793,yes,Fischerparadis Lungern,,defibrillator,144,node/8752746618,no,,,24/7,Fischerparadis Lungern,+41 41 678 01 01,,
8752746625,node,46.8316314,8.1800584,yes,BWZ Giswil,,defibrillator,144,node/8752746625,no,,,24/7,BWZ Obwalden,+41 79 855 01 45,,
8752763721,node,46.8915775,8.2481265,,im Haus Looschä im Eingangsbereich,,defibrillator,144,node/8752763721,yes,,,24/7,Sandra Schallberger,+41 79 961 62 41,,
8752788917,node,46.8572981,8.2196808,yes,Ausserhalb der Firma Rollende Werkstatt Kran AG,,defibrillator,144,node/8752788917,no,,,24/7,Rollende Werkstatt Kran AG,+41796595349,,
8803549250,node,46.8865562,8.2119812,yes,Eingang ehemaliges Hotel Schwanderhof,,defibrillator,144,node/8803549250,no,,,24/7,Gemeinde Sarnen,,,
8839390917,node,46.8875589,8.243588,yes,WC Minigolfanlage,,defibrillator,144,node/8839390917,no,,,24/7,Gemeinde Sarnen,,,
8883892418,node,46.8976654,8.2331156,yes,Postfächer,,defibrillator,144,node/8883892418,no,,,24/7,Gemeinde Sarnen,+41799616241,,
8883909317,node,46.8810942,8.224794,yes,Haltestelle,,defibrillator,144,node/8883909317,no,,,24/7,Gemeinde Sarnen,+41799616241,,
