type,features
FeatureCollection,"{'type': 'Feature', 'id': 'node/506084559', 'properties': {'access': 'yes', 'addr:city': 'Wil SG', 'addr:housenumber': '6', 'addr:place': 'Bahnhofplatz', 'addr:postcode': '9500', 'amenity': 'arts_centre', 'defibrillator:location': 'Outside of Entrance', 'emergency': 'defibrillator', 'emergency:phone': '144', 'indoor': 'no', 'level': '0', 'name': 'Stadtsaal Wil', 'id': 'node/506084559'}, 'geometry': {'type': 'Point', 'coordinates': [9.0417132, 47.4630852]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/1847264321', 'properties': {'description': 'Standort bei Shop im EG der Talstation', 'emergency': 'defibrillator', 'emergency:phone': '144', 'indoor': 'yes', 'id': 'node/1847264321'}, 'geometry': {'type': 'Point', 'coordinates': [9.3423837, 47.2493161]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/2062222792', 'properties': {'access': 'yes', 'defibrillator:location': 'Aussenwand vor Eingang Feuerwehr rechts.', 'emergency': 'defibrillator', 'emergency:phone': '144', 'operator': 'Gemeinde Niederhelfenschwil', 'wheelchair': 'yes', 'id': 'node/2062222792'}, 'geometry': {'type': 'Point', 'coordinates': [9.1878182, 47.4774965]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/3653196823', 'properties': {'addr:city': 'Au', 'addr:country': 'CH', 'addr:housenumber': '10', 'addr:street': 'Kirchweg', 'defibrillator:location:de': 'Am Eingang des Pfarrhauses', 'defibrillator:location:en': 'beside the frontdoor', 'emergency': 'defibrillator', 'emergency:phone': '144', 'opening_hours': '24/7', 'id': 'node/3653196823'}, 'geometry': {'type': 'Point', 'coordinates': [9.6331525, 47.4333593]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/4476373834', 'properties': {'defibrillator:location': 'front door', 'emergency': 'defibrillator', 'emergency:phone': '144', 'indoor': 'no', 'opening_hours': '24/7', 'id': 'node/4476373834'}, 'geometry': {'type': 'Point', 'coordinates': [9.135196, 47.4413117]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/4985525223', 'properties': {'access': 'yes', 'defibrillator:location': 'Tourist Information', 'description': 'während Öffnungszeiten verfügbar', 'emergency': 'defibrillator', 'emergency:phone': '144', 'id': 'node/4985525223'}, 'geometry': {'type': 'Point', 'coordinates': [8.8154503, 47.2251765]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/5111112085', 'properties': {'access': 'yes', 'defibrillator:location': 'Im Eingangsbereich bei den Bankomaten', 'description': '24h verfügbar', 'emergency': 'defibrillator', 'emergency:phone': '144', 'indoor': 'yes', 'opening_hours': '24/7', 'id': 'node/5111112085'}, 'geometry': {'type': 'Point', 'coordinates': [9.0871164, 47.3236656]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/5169234913', 'properties': {'emergency': 'defibrillator', 'emergency:phone': '144', 'id': 'node/5169234913'}, 'geometry': {'type': 'Point', 'coordinates': [9.049926, 47.3172366]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/5766031856', 'properties': {'emergency': 'defibrillator', 'emergency:phone': '144', 'id': 'node/5766031856'}, 'geometry': {'type': 'Point', 'coordinates': [9.5621881, 47.4875145]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/5766031956', 'properties': {'emergency': 'defibrillator', 'emergency:phone': '144', 'id': 'node/5766031956'}, 'geometry': {'type': 'Point', 'coordinates': [9.5526229, 47.4878205]}}"
