osm_id,osm_type,lat,lon,access,addr:housenumber,addr:street,check_date,defibrillator:location,description,emergency,emergency:phone,highway,id,indoor,level,name,opening_hours,operator,phone,ref,source,start_date,url,website,wheelchair
692850699,node,47.6780089,8.8311129,yes,,,,Bushaltestelle/Mehrzweckhalle,,defibrillator,144,,node/692850699,yes,,,24/7,,,,,,,,
4444552485,node,47.7668944,8.5361589,,6,Dorfstrasse,,Im Treppenhaus der Gemeindeverwaltung Beggingen unter der Treppe im EG,,defibrillator,144,,node/4444552485,yes,,,24/7,Gemeinde Beggingen,,,,,,,yes
6316178461,node,47.7177929,8.784907,yes,,,,An der Wand links neben den roten Garagetoren im grünen Kasten.,Beim Feuerwehrmagazin am Biberweg,defibrillator,144,,node/6316178461,no,,,24/7,Gemeinde Buch,,,survey,,,,
7085949166,node,47.6954437,8.6407101,yes,,,,"Freier Platz, an Pfosten direkt neben dem Verkaufshäuschen Schifffahrt",Öffentlich zugänglich,defibrillator,144,,node/7085949166,no,,,24/7,,,,,,,https://www.aed.ch/,yes
7545103097,node,47.5787215,8.572162,yes,,,,Zur Dorfstrasse hin in der ehemaligen Telefonkabine im grünen Kasten an der Wand.,,defibrillator,144,,node/7545103097,yes,0,,24/7,,,,,,,,limited
7559383146,node,47.7505526,8.4866072,yes,1,Hofwiesen,,An Aussenfassade des Feuerwehrdepot in alarmgesichertem Gehäuse,,defibrillator,144,,node/7559383146,no,,,24/7,Gemeinde Schleitheim,,,,,,,
7644000283,node,47.6965664,8.6319273,yes,,,,Bereich Soziales,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644000283,yes,,,,,,,,,,,
7644000284,node,47.6954758,8.6370215,yes,,,,Stadtbibliothek,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644000284,yes,,,,,,,,,,,
7644008585,node,47.6944797,8.636072,yes,,,,Kammgarn,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008585,,,,,,,,,,,,
7644008586,node,47.701011,8.6200887,yes,,,,Haus Steig,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008586,,,,,,,,,,,,
7644008587,node,47.7011428,8.620711,yes,,,,Haus Wiesli,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008587,,,,,,,,,,,,
7644008588,node,47.7134857,8.6544116,yes,,,,Stiftung Impuls,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008588,,,,,,,,,,,,
7644008589,node,47.6992266,8.6422478,yes,,,,Alterszentrum Emmersberg,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008589,,,,,,,,,,,,
7644008590,node,47.6975866,8.6367238,yes,,,,Alterszentrum am Kirchhofplatz,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008590,,,,,,,,,,,,
7644008591,node,47.6988503,8.6407176,yes,,,2026-02-21,Sporthalle Munot,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008591,yes,,,,,,,,,,,
7644008592,node,47.6979612,8.6368512,yes,,,,Bibliothek Agnesenschütte,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008592,,,,,,,,,,,,
7644008593,node,47.7081516,8.651256,yes,,,,Aufbahrung Waldfriedhof,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008593,,,,,,,,,,,,
7644008594,node,47.734498,8.5789356,yes,,,,An Aussenwand vom Schulhaus Hemmental in 8231 Hemmental,Wurde aus dem Gebäudeinnern an der Aussenwand des Schulhauses Hemmental montiert.,defibrillator,144,,node/7644008594,no,0,,24/7,Stadt Schaffhausen / Stadtpolizei Schaffhausen,,,,,,,
7644008595,node,47.7034876,8.6248791,yes,,,,Fussballstadion Breite,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008595,,,,,,,,,,,,
7644008596,node,47.6975866,8.6267728,yes,,,,Turnhalle Steig,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008596,,,,,,,,,,,,
7644008597,node,47.7142157,8.6455429,yes,,,,Turnhalle Steingut,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008597,no,,,,,,,,,,,
7644008598,node,47.722991,8.6580661,yes,,,,Turnhalle Kreuzgut,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008598,,,,,,,,,,,,
7644008599,node,47.7233248,8.6572239,yes,,,,Turnhalle Hohberg,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008599,,,,,,,,,,,,
7644008600,node,47.7200615,8.6505613,yes,,,,Turnhalle Gräfler,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008600,,,,,,,,,,,,
7644008601,node,47.7054298,8.6567652,yes,,,,Turnhalle Alpenblick,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008601,,,,,,,,,,,,
7644008602,node,47.6977743,8.6537451,yes,,,,Turnhalle Buchthal,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008602,,,,,,,,,,,,
7644008603,node,47.6987654,8.653332,yes,,,,Turnhalle Zündelgut,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008603,,,,,,,,,,,,
7644008604,node,47.7001987,8.6384913,yes,,,,Schulhaus Emmersberg,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008604,,,,,,,,,,,,
7644008605,node,47.7039604,8.6233442,yes,,,,"Dreifachturnhalle Breite, beim Halleneingang zwischen Halle 2 und 3  im Untergeschoss (links). Roter Kasten an der Wand. Zugang nur bei offener Halle möglich.",nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008605,yes,-1,,Mo-Su 07:00-22:00,,,,,,,,no
7644008606,node,47.699094,8.6364743,yes,,,,Bachturnhalle,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008606,,,,,,,,,,,,
7644008607,node,47.7007348,8.637,permissive,,,,Feuerwehrzentrum,Es ist immer jemand vor Ort (wenn kein Einsatz ist),defibrillator,144,,node/7644008607,yes,1,,24/7,Feuerwehr Schaffhausen,+41 52 630 02 22,,,,,,
7644008608,node,47.7129217,8.655172,yes,,,,Busdepot VBSH,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008608,,,,,,,,,,,,
7644008609,node,47.6964782,8.635966,yes,,,,Kirche St. Johann,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008609,yes,,,,,,,,,,,
7644008610,node,47.696932,8.6401494,yes,,,,Munotzinne neben Ausschank rechts,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008610,,1,,,,,,,,,,
7644008611,node,47.6949581,8.6354698,yes,,,,Museum Allerheiligen,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008611,,,,,,,,,,,,
7644008612,node,47.6957822,8.6333549,yes,,,,Stadttheater,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008612,,,,,,,,,,,,
7644008613,node,47.6961848,8.6348341,yes,,,,Hochbauamt,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008613,yes,,,,,,,,,,,
7644008614,node,47.698815,8.6346035,yes,,,,Käfig,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008614,,,,,,,,,,,,
7644008617,node,47.6971127,8.634409,yes,,,,Stadthaus,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008617,yes,,,,,,,,,,,
7644008618,node,47.697013,8.6344727,yes,,,,Stadthaus,nur zugänglich wenn Gebäude geöffnet sind,defibrillator,144,,node/7644008618,yes,,,,,,,,,,,
7836638224,node,47.6941949,8.6379899,,,,,In der Rhybadi,während Öffnungszeiten verfügbar,defibrillator,144,,node/7836638224,yes,,,,,,,,,,,
7900550879,node,47.6971001,8.633557,yes,,,2025-12-31,"am Fronwagplatz, an der Lampe",,defibrillator,144,street_lamp,node/7900550879,no,,,24/7,Stadt Schaffhausen,,,,,defibrillator.ch,,yes
7902352988,node,47.6673658,8.4672018,yes,,,,1. OG im Gang,nur während Öffnungszeiten verfügbar,defibrillator,144,,node/7902352988,yes,,,Mo-Th 08:00-12:00,,,,,,,,
7902352989,node,47.6723455,8.4714247,,,,,Damenumkleide,während den Sommermonaten zugänglich wenn Badi geöffnet ist,defibrillator,144,,node/7902352989,yes,,,Mo-Su 08:00-21:00,,,,,,,,
8040757092,node,47.6592651,8.8596552,yes,,,,Im Rathaus,,defibrillator,144,,node/8040757092,yes,,,Mo-Fr 08:00-17:00,,,,,,,,
8278094210,node,47.572971,8.5608156,yes,,,,aussen an der Wand beim Gemeindehaus,,defibrillator,144,,node/8278094210,no,,,24/7,,,,,,,,
8428728969,node,47.6524022,8.8529274,yes,,,,Kassenhäuschen von der Waschanlage,,defibrillator,144,,node/8428728969,yes,,,24/7,TIT Imhof,,,,,,,
8453143076,node,47.7047323,8.6296868,yes,,,,Im 2. Stock beim Lift,während,defibrillator,144,,node/8453143076,yes,,,"Mo-Fr 7:30 - 12:00, 13:30 - 17:00","Stadt Schaffhausen, Fritz Rüttimann",+41 52 632 73 73,,,,,,
8554764936,node,47.7594976,8.6101203,yes,,,,An der Gebäudefassade unterhalb des Logos,,defibrillator,144,,node/8554764936,yes,,,24/7,Gemeinde Merishausen,+41 52 653 16 35,,,,,,
