osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,colour,contact:phone,defibrillator:location,description,emergency,emergency:phone,id,image,indoor,level,name,note,opening_hours,operator,outdoor,phone,ref,source,wheelchair
2098935833,node,47.1775874,8.888641,yes,,,,,,,,Zürcherstrasse - Paradiesweg neben Garagengebäude,,defibrillator,144,node/2098935833,,no,,,,24/7,Gemeinde Galgenen,,,,,
5536021478,node,47.0610269,8.8555652,,,,,,,,,,,defibrillator,144,node/5536021478,,,,,,24/7,,,,,,
5536021479,node,47.0629144,8.8497233,,,,,,,,,,,defibrillator,144,node/5536021479,,,,,,24/7,,,,,,
5823349636,node,47.1932953,8.8945908,,Wangen,2,8855,Seestrasse,,,,Im Mehrzweckgebäude,,defibrillator,144,node/5823349636,,yes,,,,24/7,,,,,,
5846736972,node,47.2003043,8.7928444,,,,,,,,,,,defibrillator,144,node/5846736972,,yes,0,,,24/7,,,,,,
5929901485,node,47.0873851,8.4442441,yes,,,,,,,,"Rigihalle Küssnacht, Beim Eingang rechts",,defibrillator,144,node/5929901485,,,,,,24/7,Rettungsdienst Küssnacht,,+41 79 101 93 00,,,
6055789439,node,47.0300544,8.6305097,yes,,,,,,,,"Schulhaus Seerüti Engibergweg 3, 6423 Seewen",,defibrillator,144,node/6055789439,,no,,,,24/7,Gemeinde Schwyz,,+41 41 819 07 25,,,
6264028840,node,47.191743,8.8555813,,,,,,,,,Neben der Coop Recycling-Station im Parterre,,defibrillator,144,node/6264028840,,yes,0,,,Mo-Sa 08:00-20:00,,,,,,
6796313255,node,47.1755361,8.922137,yes,,,,,,,,Ostseite von Carosserie Steiner,,defibrillator,144,node/6796313255,,no,0,,,24/7,resQshock GmbH,,,,,
6976909939,node,46.9780139,8.6678677,yes,,,,,,,,"Stoosbahn, Bergstation",,defibrillator,144,node/6976909939,,no,,,,24/7,Stoosbahnen AG,,+41 41 818 08 08,,,
6976909940,node,46.9913578,8.673498,yes,,,,,2026-04-03,,,Ganz links beim Briefkasten,,defibrillator,144,node/6976909940,,no,,,,24/7,Stoosbahnen AG,,+41 41 818 08 08,,,
6976909941,node,46.9874092,8.7241797,yes,,,,,,,,Gemeindekanzlei,,defibrillator,144,node/6976909941,,,,,,24/7,Gemeindeverwaltung Illgau,,+41 41 830 10 66,,,
6976909942,node,47.1209242,8.7415397,yes,,,,,,,,Feuerwehrlokal,,defibrillator,144,node/6976909942,,yes,,,,24/7,Bezirksverwaltung Einsiedeln,,+41 55 418 41 01,,,
6976909943,node,47.1224461,8.7348813,yes,,,,,,,,"Neben dem Eingang, Werkhof",,defibrillator,144,node/6976909943,,,0,,,24/7,Bezirksverwaltung Einsiedeln,,+41 55 418 41 01,,,limited
6976909944,node,47.2170855,8.7781199,yes,,,,,,,,"Ufenau, Restaurant, WC Herren",,defibrillator,144,node/6976909944,,yes,,,,24/7,Siko Höfe,,+41 79 478 55 99,,,
6976909945,node,47.1496278,8.7646163,yes,,,,,,,,Badeanstalt Roblosen,,defibrillator,144,node/6976909945,,,,,,24/7,Bezirksverwaltung Einsiedeln,,+41 55 418 41 01,,,
6976909946,node,47.1285049,8.7512939,yes,,,,,,,,altes Schulhaus,,defibrillator,144,node/6976909946,,,,,,24/7,Bezirksverwaltung Einsiedeln,,+41 55 418 41 01,,,
6976909947,node,47.1619817,8.7830188,yes,,,,,,,,Schulhaus,,defibrillator,144,node/6976909947,,,,,,24/7,Bezirksverwaltung Einsiedeln,,+41 55 418 41 01,,,
6976909948,node,47.1297537,8.7933088,yes,,,,,,,,Schulhaus,,defibrillator,144,node/6976909948,,,,,,24/7,Bezirksverwaltung Einsiedeln,,+41 55 418 41 01,,,
6976909949,node,47.0944792,8.8170272,yes,,,,,,,,Silac AG,,defibrillator,144,node/6976909949,,,,,,24/7,Bezirksverwaltung Einsiedeln,,+41 55 418 41 01,,,
6976909950,node,47.1157421,8.7744782,yes,,,,,,,,Schulhaus,,defibrillator,144,node/6976909950,,no,,,,24/7,Bezirksverwaltung Einsiedeln,,+41 55 418 41 01,,,
6976909951,node,47.0979264,8.7243022,yes,,,,,,,,Schulhaus,,defibrillator,144,node/6976909951,,,,,,24/7,Bezirksverwaltung Einsiedeln,,+41 55 418 41 01,,,
6976909952,node,47.2025402,8.9398791,yes,,,,,,,,Gemeindehaus,,defibrillator,144,node/6976909952,,,,,,24/7,SEE Tuggen,,+41 55 465 65 14,,,
6976909953,node,47.1048568,8.6739666,yes,,,,,,,,Sportplatz Mittelpunktschulhaus unter der Treppe,,defibrillator,144,node/6976909953,,no,0,,,24/7,Gemeindeverwaltung Rothenthurm,,+41 41 839 80 20,,,
6976909954,node,47.105964,8.6745948,yes,,,,,,,,SOB Bahnhof Rothenthurm Perron Gleis 1/2,,defibrillator,144,node/6976909954,,no,,,,24/7,Schweizerische Südostbahn,,+41 58 580 70 70,,,
6976909955,node,47.0900382,8.4516446,yes,,,,,,,,C. Vanoli AG Bauunternehmung,Immer Zuggänglich,defibrillator,144,node/6976909955,,no,0,,,24/7,"C. Vanoli AG, Bauunternehmung",,+41 41 854 60 60,,,
6976909956,node,47.2020656,8.7786016,yes,,,,,,,,"Schwyzer Kantonalbank, direkt nach dem Eingang recht an der Wand, 24h-Zone",,defibrillator,144,node/6976909956,,yes,0,,,24/7,Schwyzer Kantonalbank,,+41 58 800 20 20,,,yes
6976909957,node,47.174737,8.8982783,yes,,,,,,,,"Schwyzer Kantonalbank, 24h-Zone",,defibrillator,144,node/6976909957,,yes,,,,24/7,Schwyzer Kantonalbank,,+41 58 800 20 20,,,
6976909958,node,47.1912645,8.8527763,yes,,,,,,,,"Schwyzer Kantonalbank, 24h-Zone",,defibrillator,144,node/6976909958,,yes,,,,24/7,Schwyzer Kantonalbank,,+41 58 800 20 20,,,
6976909959,node,47.0132255,8.6449463,yes,,,,,,,,Nebeneingang Pfarrheim Ibach (Parkplatz),,defibrillator,144,node/6976909959,,no,,,,24/7,Pfarrei St. Anton,,+41 41 818 61 20,,,
6976909960,node,47.1975792,8.7343796,yes,,,,,,,,SOB Haltestelle Wilen,,defibrillator,144,node/6976909960,,no,,,,24/7,Schweizerische Südostbahn,,+41 58 580 70 70,,,
6976909961,node,47.2015534,8.7893333,yes,,,,,,,,Verkehrsamt Pfäffikon,,defibrillator,144,node/6976909961,,no,,,,24/7,Verkehrsamt Pfäffikon,,+41 41 819 17 55,,,
6976909962,node,47.1567398,8.7227179,yes,,,,,,,,"Vor dem Bahnhof, nähe Gleis 2",,defibrillator,144,node/6976909962,,no,0,,,24/7,Schweizerische Südostbahn,,+41 58 580 70 70,,,limited
6976909963,node,47.2039762,8.7590364,yes,,,,,,,,SOB Bahnhof Freienbach (auf dem Perron zwischen Gleis 1 und 2),,defibrillator,144,node/6976909963,,no,0,,,24/7,Schweizerische Südostbahn,,+41 58 580 70 70,,,
6976909964,node,47.1763958,8.7091819,yes,,,,,,,,"SOB Bahnhof Schindellegi, Perron",,defibrillator,144,node/6976909964,,no,,,,24/7,Schweizerische Südostbahn,,+41 58 580 70 70,,,
6976909965,node,47.1955595,8.7250163,yes,,,,,,,,"SOB Bahnhof Wollerau, Gleis 2",,defibrillator,144,node/6976909965,,no,,,,24/7,Schweizerische Südostbahn,,+41 58 580 70 70,,,
6976909966,node,47.1967628,8.712411,yes,,,,,,,,Unterstand Gleis 1,,defibrillator,144,node/6976909966,,no,,,,24/7,Schweizerische Südostbahn,,+41 58 580 70 70,,,
6976909967,node,47.1954934,8.7194866,yes,,,,,,,,"Schwyzer Kantonalbank, Aussenbereich vor 24h-Zone",,defibrillator,144,node/6976909967,,no,,,,24/7,Schwyzer Kantonalbank,,+41 58 800 20 20,,,
6976909968,node,47.1741013,8.9537124,yes,,,,,,,,Parkplatz Kirche,,defibrillator,144,node/6976909968,,no,,,,24/7,resQshock GmbH,,+41 55 460 22 44,,,
6976909969,node,46.9989953,8.609189,yes,,,,,,,,Mivera AG,,defibrillator,144,node/6976909969,,,,,,24/7,Mivera AG,,+41 41 820 30 70,,,
6976909970,node,47.1280363,8.7442567,yes,,,,,,,,Bei Wartehalle,,defibrillator,144,node/6976909970,,no,,,,24/7,Bahnreisezentrum Einsiedeln,,+41 58 580 75 31,,,
6976909971,node,47.0702118,8.7160137,yes,,,,,,,,Mehrzweckanlage,,defibrillator,144,node/6976909971,,yes,,,,24/7,Gemeinde Alpthal,,+41 78 707 41 95,,,
6976909972,node,47.1924575,8.8632735,yes,,,,,,,,MZ Sanitär + Heizung AG,,defibrillator,144,node/6976909972,,,,,,24/7,resQshock GmbH,,+41 55 460 22 44,,,
6976909973,node,47.0023163,8.6437938,yes,,,,,,,,Firma impuls,,defibrillator,144,node/6976909973,,,,,,24/7,resQshock GmbH,,+41 55 460 22 44,,,
6976909974,node,47.1927061,8.8523239,yes,,,,,,,,Firma RE/MAX Stern Lachen,,defibrillator,144,node/6976909974,,no,,,,24/7,resQshock GmbH,,+41 55 460 22 44,,,
6976909975,node,47.0324216,8.5970766,yes,,,,,,,,Restaurant Schwanau,,defibrillator,144,node/6976909975,,,,,,24/7,SIBE Stefan Schlegel,,+41 41 819 16 33,,,
6976909976,node,47.1707483,8.9752137,yes,,,,,,,,Zur Rose Reichenburg Eingang,,defibrillator,144,node/6976909976,,,,,,24/7,Zur Rose Reichenburg,,+41 55 464 41 41,,,
6976909977,node,46.9949015,8.6083634,yes,,,,,,,,Baudepartement Kanton Schwyz,,defibrillator,144,node/6976909977,,,,,,24/7,Baudepartement Kanton Schwyz,,+41 41 819 25 16,,,
6976909978,node,47.1927114,8.7143337,yes,,,,,,,,Felsenrainstrasse 11,,defibrillator,144,node/6976909978,,no,,,,24/7,Flurgenossenschaft Felsenreinstrasse,,+41 44 784 76 56,,,
6976909980,node,47.0408949,8.7805099,yes,,,,,,,,Gemeindehaus,,defibrillator,144,node/6976909980,,,,,,24/7,Gemeinde Oberiberg,,+41 55 414 31 03,,,
6976909981,node,47.1904542,8.8608579,yes,,,,,,,,Waschanlage Froschkönig,,defibrillator,144,node/6976909981,,,,,,24/7,resQshock GmbH,,+41 55 460 22 44,,,
6976909982,node,47.2063526,8.7751881,yes,,,,,,,,Clubhaus Seeanlage,,defibrillator,144,node/6976909982,,yes,,,,24/7,Gemeinde Freienbach,,+41 78 605 77 27,,,
6976909983,node,47.0221038,8.6509567,yes,,,,,,,,Sparkasse Schwyz AG,,defibrillator,144,node/6976909983,,,,,,24/7,Sparkasse Schwyz AG,,+41 41 819 02 50,,,
6976909984,node,47.1770982,8.9000712,yes,,,,,,,,Kapellstrasse 7,,defibrillator,144,node/6976909984,,no,,,,24/7,resQshock GmbH,,+41 55 460 22 44,,,
6976938385,node,47.1726512,8.899804,yes,,,,,,,,neben Garageneinfahrt,,defibrillator,144,node/6976938385,,no,,,,24/7,resQshock GmbH,,+41 55 460 22 44,,,
