osm_id,osm_type,lat,lon,access,access:conditional,addr:city,addr:housenumber,addr:postcode,addr:street,addr:street:en,check_date,covered,defibrillator:location,description,description:en,emergency,emergency:phone,fixme,id,image,image:license,indoor,latitude,level,location,longitude,name,opening_hours,operator,phone,phone:mobile,postal_code,ref,source,website,wheelchair,wheelchair:description
2152618072,node,47.6738507,9.0211203,,,,,,,,,,,,,defibrillator,144,,node/2152618072,,,no,,,,,,,,,,,,,,,
2510630585,node,47.5549775,8.8727601,private,,,,,,,,,Waschhaus an der Außenwand montiert,,,defibrillator,144,,node/2510630585,,,no,,,,,,"""limited""",Zuckerfabrik Frauenfeld,,,,,,,,
2510644557,node,47.5576872,8.8963877,,,,,,,,,,"Beim letzten Mast der Frauenfeld-Wil-Bahn-Oberleitung, gegenüber den Informationstafeln",,,defibrillator,144,,node/2510644557,,,no,,,,,,24/7,Förderverein Frühdefibrillation,,,,,,,,
2734556342,node,47.6506803,9.1733493,,,,,,,,,,,,,defibrillator,144,,node/2734556342,,,yes,,0,,,,,,,,,,,https://defibrillator.ch,,
2797410150,node,47.6449015,9.1960311,,,,,,,,,,,,,defibrillator,144,,node/2797410150,,,yes,,,,,,,,,,,,,,,
3166746986,node,47.5347756,9.1844932,,,,,,,,,,Velounterstand gegenüber Auholzsaal Sulgen,,,defibrillator,144,,node/3166746986,,,,,,,,,24/7,Gemeinde Sulgen,,,,,,,,
3913195489,node,47.605442,8.7659923,,,,,,,,,,An der Hausmauer,,,defibrillator,144,,node/3913195489,,,no,,,,,,24/7,,,,,,,,,
4171946434,node,47.6111736,9.1678029,,,,,,,,,,,,,defibrillator,144,,node/4171946434,,,no,,,,,,24/7,Strähl Käse AG,,,,,,,yes,
5198792009,node,47.6229351,9.2689439,yes,,,,,,,,,Unter dem Dach des Hafengebäudes bei den Garderoben/Toiletten direkt an der Innenwand im grünen Kasten beim Sichtkasten.,,,defibrillator,144,,node/5198792009,,,yes,,,,,,24/7,defibrillator.ch,,,,,,,yes,
5804272563,node,47.6882067,8.7500173,yes,,,,,,,,,An der Rhyhalle beim Haupteingang aussen an der Fassade an der Wand montiert. Von der Strasse aus sichtbar ist ein Hinweisschild an der Fassade angebracht.,hängt außen an der Fassade; von der Straße aus ist ein Hinweisschild an der Fassade angebracht.,,defibrillator,144,,node/5804272563,,,no,,0,on the wall,,,24/7,,,,,,,,yes,
5836345698,node,47.5510029,9.2283708,,,,,,,,2025-08-03,,Outside the door,,,defibrillator,144,,node/5836345698,,,no,,,,,,24/7,Gemeinde Erlen,,,,,,,,
6140725358,node,47.4464489,9.0535727,yes,,,,,,,,,Recycling-Station draussen neben Haupteingang,,,defibrillator,144,,node/6140725358,,,no,,,,,,24/7,Einkaufszentrum Breite (Verantwortlich: Coop Vitality Apotheke),,,,,,,,
7080352686,node,47.5600829,8.9046437,,,,,,,,,,,,,defibrillator,144,,node/7080352686,,,,,,,,,,,,,,,,,,
7559416849,node,47.6483622,8.8717123,yes,,,,,,,,,Gerät ist bei Haustüre unter dem Vordach an der Wand gut sichtbar montiert/beleuchtet.,,,defibrillator,144,,node/7559416849,,,no,,,,,,24/7,Charly Maus,+41 79 688 93 05,,,,,,yes,
7559459418,node,47.4512821,8.9780483,yes,,,,,,,,,"Schulhaus Egg, Schulhausstrasse 4, 8372 Wiezikon, beim Eingang des Schulhauses auf der rechten Seite",,,defibrillator,144,,node/7559459418,,,no,,,,,,24/7,Gemeinde Sirnach,,,,,,,,
7559459419,node,47.449998,8.9857851,yes,,,,,,,,,"Gemeindeschürli Wiezikon, Weingartenstrasse 3a, 8372 Wiezikon, unter dem kleinen Vordach beim Gemeindeschürli",,,defibrillator,144,,node/7559459419,,,no,,,,,,24/7,Gemeinde Sirnach,,,,,,,,
7559459420,node,47.4523695,9.0136707,yes,,,,,,,,,"Schulhaus Busswil, Rosetstrasse 6, 8371 Busswil, beim zweiten Gebäude rechts auf dem Schulhausplatz, hinter dem Gebüsch um die Ecke, grünes Schild oben beachten",,,defibrillator,144,,node/7559459420,,,no,,,,,,24/7,Gemeinde Sirnach,,,,,,,,
7559459421,node,47.4620032,9.0002777,yes,,,,,,,,,"Bahnhof Sirnach, Wilerstrasse 14, 8370 Sirnach, an der Säule unter dem Dach beim Kiosk",,,defibrillator,144,,node/7559459421,%20Sirnach.png,,no,,,,,,24/7,Gemeinde Sirnach,,,,,,,yes,
7559459422,node,47.4628812,8.9980205,yes,,,,,,,,,"Gemeindezentrum Dreitannen, Frauenfelderstrasse 3, 8370 Sirnach, beim Haupteingang rechts neben der Türe.",,,defibrillator,144,,node/7559459422,,,no,,,,,,24/7,Gemeinde Sirnach,,,,,,,,
7559459423,node,47.4626813,8.9940852,yes,,,,,,,,,"Bibliothek Sirnach, Winterthurerstrasse 15, 8370 Sirnach, beim Eingang der Bibliothek, links an der Wand neben dem Eingang",,,defibrillator,144,,node/7559459423,,,no,,,,,,24/7,Gemeinde Sirnach,,,,,,,,
