osm_id,osm_type,lat,lon,access,check_date,covered,defibrillator:location,description,emergency,emergency:phone,fixme,id,indoor,level,location,mapillary,name,note,note:de,opening_hours,operator,phone,source,website,wheelchair
5155567241,node,46.5986073,8.5021515,,2024-05-05,,,,defibrillator,144,,node/5155567241,no,,"Gegenüber der Hotel Post, an der Wand befestigt",,Feuerwehr Magazin,,,24/7,,,,,
5371136952,node,46.9024516,8.6250459,yes,2024-01-28,,An der Wand im Wartesaal der Bushaltestelle angebracht,,defibrillator,144,,node/5371136952,,,,,,,,24/7,,,,,
5387108677,node,46.8824002,8.6454334,yes,2024-08-14,,Rechts von Eingangstür,,defibrillator,144,,node/5387108677,no,,,,Mehrzweckgebäude Winkel,,,24/7,,,,,
5523221438,node,46.8793331,8.6494954,,,,,,defibrillator,144,,node/5523221438,,,,,,,,,,,,,
6459359556,node,46.9493514,8.6209514,yes,2024-12-05,,Gemeindehausplatz,"Rechts von WC Eingang, am Wand.",defibrillator,144,,node/6459359556,no,0,,,,,,24/7,,,,,yes
6635532681,node,46.894496,8.6076517,yes,2026-04-04,,Aussenwand Toiletteneingang,,defibrillator,144,,node/6635532681,no,,,,,,,24/7,,,,,
7637812578,node,46.7143595,8.6087968,,,,,Zentrale,defibrillator,144,,node/7637812578,,,,,Kraftwerk Wassen AG,,,,,,,,
7637818465,node,46.8722739,8.7276474,,,,,rechts beim Eingang,defibrillator,144,,node/7637818465,,,,,Primarschulhaus,,,,,,,,
7637818475,node,46.9784928,8.5871685,yes,2026-01-04,,Aussenwand Rest. Bahnhöfli,Bahnhöfli Restaurant,defibrillator,144,,node/7637818475,no,,,,,,,24/7,,,,,yes
7637818477,node,46.8847365,8.6052124,yes,2024-03-24,,,Eingang MZH,defibrillator,144,,node/7637818477,,0,,,Mehrzweckhalle,,,24/7,,,,,
7637818479,node,46.8883495,8.6032726,yes,2024-04-28,,,,defibrillator,144,,node/7637818479,yes,0,,,Seerestaurant,,,Mar: 09:00-18:00; Apr-Sep: 09:00-22:00; Oct: 09:00-18:00; Nov-Feb: off,Seerestaurant,,,,
7637818488,node,46.8633022,8.6462162,,,,,während Öffnungszeiten verfügbar,defibrillator,144,,node/7637818488,yes,,,,Brand Metallbau AG,,,,,,,,
7637818489,node,46.8567214,8.6432227,permissive,,,Betriebssanität. 6 Stock,,defibrillator,144,,node/7637818489,yes,6,,,Dätwyler Sealing Solutions,,,,,,,,
7637818490,node,46.8644843,8.6551973,yes,2024-05-01,,Gemeindehaus Schattdorf,li. neben Haupteingang öffentlich,defibrillator,144,,node/7637818490,no,0,,,Gemeindehaus Dorfplatz,,,24/7,Gemeinde Schattdorf,+41 41 874 04 74,"local_knowledge, defikarte.ch",,
7637818491,node,46.853049,8.6468124,,,,,Gebäude 048 (878) Aufgang zum Aufenthaltsraum,defibrillator,144,,node/7637818491,,,,,Nr. 5 RUAG Rynächt,,,,,,,,
7637818492,node,46.8570067,8.6448286,private,,,"Erdgeschoss, beim Feuerloeschposten",,defibrillator,144,,node/7637818492,yes,1,,,,,,Mo-Fr 07:30-17:00,Sisag AG,+41 41 875 07 11,,,yes
7637818493,node,46.854931,8.640834,,,,In Ausstellung / Büro,,defibrillator,144,,node/7637818493,,,,,Garage Walker GmbH,,,,,,,,
7637818965,node,46.6685659,8.5860012,yes,2023-06-25,,An der Aussenwand bei der Rampe,Eingang Aussenfassade,defibrillator,144,,node/7637818965,no,,,,Defibrillator Göschenen,,,24/7,,,,,
7637818966,node,46.64897,8.4997338,,,,,Office,defibrillator,144,,node/7637818966,,,,,Göscheneralp Rest Dammagletscher,,,,,,,,
7637818967,node,46.6673458,8.5851195,,,,,Haupteingang,defibrillator,144,,node/7637818967,,,,,Kraftwerk Göschenen,,,,,,,,
7637818968,node,46.6669533,8.5914866,yes,,,,Haupteingang/links hinter EG Türe Polizei,defibrillator,144,,node/7637818968,,,,,Schadenwehr Gotthard,,,24/7,,,,,
7637818971,node,46.8996395,8.6226894,yes,2025-05-24,,"Standort links an der Wand im offenen, aber überdachten Eingangsbereich in der Mitte.",,defibrillator,144,,node/7637818971,,0,,,Arnold Sand und Kieswerke AG,,,24/7,,,,,
7637818973,node,46.9150421,8.6229803,yes,2024-04-08,,Am Wand der WC Gebäude Campingplatz Windsurfing Urnersee,,defibrillator,144,,node/7637818973,no,,,,WC Gebäude Campingplatz,,,24/7,,,,,
7637818974,node,46.9097132,8.6224965,,2025-05-31,,Wand innend des Strandgebäude Flüelen,,defibrillator,144,,node/7637818974,,0,,,Strandbad Flüelen,Only accessible during opening hours.,Nür während des Öffnungszeit verfügbar,,,,,,
