osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,check_date,colour,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,defibrillator:location:fr,des,description,emergency,emergency:phone,fixme,id,indoor,latitude,layer,level,longitude,name,object:housenumber,object:street,opening_hours,opening_hours:url,operator,operator:phone,operator:wikidata,phone,phone:CH,ref,source,wheelchair
3018863313,node,46.5136761,6.494963,,,,,,,,,,,,,,,,defibrillator,144,,node/3018863313,,,,,,,,,,,,,,,,,,
4857047694,node,46.5328099,6.7042974,,,,,,,,,,,,,,,Pendant les heures d'ouverture,defibrillator,144,,node/4857047694,,,,,,,,,,,Cobalt Project,,,,,,,
4939061696,node,46.517121,6.6623598,yes,,,,,,,,,Collège de Chantemerle,,,,,,defibrillator,144,,node/4939061696,no,,,,,,,,24/7,,,,,,,,,
4940658457,node,46.5096447,6.6613856,yes,,,,,,,,,Maison Pulliérane - à droite de l'entrée de la grande salle,,,,,,defibrillator,144,,node/4940658457,no,,,,,,,,24/7,,,,,,,,,
4940658458,node,46.5123589,6.6719107,yes,,,,,,,,,Centre sportif - sur le mur vers les vestiaires,,,,,,defibrillator,144,,node/4940658458,no,,,,,,,,24/7,,,,,,,,,
4940660529,node,46.5124332,6.6608876,yes,,,,,,,,,Complexe Arnold Reymond - Salle omnisports - sur la façade côté Lausanne,,,,,,defibrillator,144,,node/4940660529,yes,,,,,,,,24/7,,,,,,,,,
4940660530,node,46.5112199,6.6599072,yes,,,,,,,,,Pharmacie SunStore,,,,,Pendant les heures d'ouverture,defibrillator,144,,node/4940660530,yes,,,,,,,,,,,,,,,,,
4940660531,node,46.5111053,6.6610734,yes,,,,,,,,,Pharmacie de la Clergère,,,,,Pendant les heures d'ouverture,defibrillator,144,,node/4940660531,yes,,,,,,,,,,,,,,,,,
4940660532,node,46.5107326,6.6593658,yes,,,,,,,,,Pharmacie Place Neuve,,,,,Pendant les heures d'ouverture,defibrillator,144,,node/4940660532,yes,,,,,,,,,,,,,,,,,
4940660533,node,46.5104099,6.6597038,yes,,,,,,,,,Pharmacie Amavita Pulliérane,,,,,Pendant les heures d'ouverture,defibrillator,144,,node/4940660533,yes,,,,,,,,,,,,,,,,,
4940660534,node,46.5105345,6.6596616,yes,,,,,,,,,À côté du postomat,,,,,,defibrillator,144,,node/4940660534,no,,,,,,,,24/7,,Ville de Pully,,,,,,,
4940669114,node,46.5066593,6.6693979,yes,,,,,,,,,Outside next to the door,,,,,,defibrillator,144,,node/4940669114,no,,,,,,,,24/7,,Ville de Pully,,,,,,,
4940669115,node,46.5058483,6.6619909,yes,,,,,,,,,Abri arrêt TL - façade côté arrêt de bus,,,,,,defibrillator,144,,node/4940669115,no,,,,,,,,24/7,,,,,,,,,
4940680261,node,46.5070334,6.6440485,,,,,,,,,,Siège du CIO Lausanne - réception,,,,,Pendant les heures d'ouverture,defibrillator,144,,node/4940680261,yes,,,,,,,,,,,,,,,,,
4940988851,node,46.5022501,6.6884295,yes,,,,,,,,,,,,,,,defibrillator,144,,node/4940988851,yes,,,,,,,,,,Police Lavaux,,,,,,,
5184755504,node,46.478108,6.2354064,,,,,,,,,,"Dans le sas menant à l'épicerie sise à la Place du Village 5, 1261 Le Vaud",,,,,,defibrillator,144,,node/5184755504,yes,,,0,,,,,24/7,,Personne privée,,,,,,,
5214068322,node,46.4542519,6.8707008,yes,,,,,,,,,Sous le couvert,,,,,,defibrillator,144,,node/5214068322,no,,,,,,,,24/7,,Ambulance Riviera,,,,,,,
5214073921,node,46.4529656,6.858594,yes,,,,,,,,,"Dans le hall d'entrée, à droite",,,,,Pendant les heures d'ouverture,defibrillator,144,,node/5214073921,yes,,,0,,,,,,,,,,,,,,
5214074021,node,46.4629763,6.8409332,yes,,,,,,2023-10-31,,,A côté des escalators,,,,,Pendant les heures d'ouverture,defibrillator,144,,node/5214074021,yes,,,0,,,,,Mo-Th 08:30-18:30; Fr 08:30-20:00; Sa 08:00-17:00,https://www.manor.ch/fr/store-finder/store/vev,Centre Manor,,Q382686,,,,,
5214074121,node,46.4521777,6.8886613,yes,,,,,,,,,Sur la façade du bâtiment côté terrain,,,,,,defibrillator,144,,node/5214074121,no,,,,,,,,24/7,,Commune de Montreux,,,,,,,
5313721921,node,46.9146372,7.0281344,yes,,,,,,,,,,,,,,Pendant les heures d'ouverture,defibrillator,144,,node/5313721921,,,,,,,,,,,Bibliothèque de Vully-les-Lacs,,,,,,,
5469158722,node,46.5099091,6.6603753,yes,,,,,,,,,In the entry forward after a couple of steps,,,,,,defibrillator,144,,node/5469158722,yes,,,,,,,,,,Police Est-Lausannois,,,,,,,
5964461841,node,46.431839,6.9786405,yes,,,,,,,,,Dans la gare,,,,,,defibrillator,144,,node/5964461841,yes,,,-1,,,,,24/7,,,,,,,,,no
5981613289,node,46.4501591,6.8775876,,,,,,,,,,Dans l'entrée du bâtiment principal,,,,,Pendant les heures d'ouverture,defibrillator,144,,node/5981613289,yes,,,,,,,,,,Gymnase de Burier,,,,,,,
5981620685,node,46.4494065,6.8775663,,,,,,,,,,Dans l'entrée des salles de sport,,,,,Pendant les heures d'ouverture,defibrillator,144,,node/5981620685,yes,,,,,,,,,,Gymnase de Burier,,,,,,,
6019672196,node,46.5278133,6.6160088,,,,,,,,,,,,,,,Pendant les heures d'ouverture,defibrillator,144,,node/6019672196,yes,,,,,,,,,,Migros,,,,,,,
