osm_id,osm_type,lat,lon,access,access:conditional,access:note,activation,addr:city,addr:country,addr:floor,addr:housenumber,addr:postcode,addr:street,alarm,amenity,bicycle,check_date,check_date:opening_hours,colour,contact:city,contact:country,contact:email,contact:housenumber,contact:phone,contact:postcode,contact:street,contact:website,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,defibrillator:location:fr,description,destination,email,emergency,emergency:phone,fitness,fixme,foot,healthcare,id,image,indoor,latitude,level,level:ref,longitude,motor_vehicle,name,note,office,opening_hours,operator,operator:type,phone,phone:CH,postal_code,recycling_type,ref,source,start_date,survey:date,temporary,website,wheelchair
256171559,node,47.2398129,8.730395,yes,,,,,,,,,,,,,,,,,,,,,,,,,"An Fassade Schulhaus Nord, Richtung grosser Pausenplatz",,,,Grüner Kasten,,,defibrillator,144,,,,,node/256171559,,wall,,0,,,,Gemeinde Stäfa ZH,,,24/7,Lifetec AG Schweiz,,+41 800 122 144,,,,,,,,,,
1024130902,node,47.4461321,8.7954507,yes,,,,,,,,,,,,,,,,,,,,,,,,,Beim Schwimmbad Engelburg,,,,,,,defibrillator,144,,,,,node/1024130902,,no,,0,,,,,,,24/7,Gemeinde Zell,,+41 52 397 03 11,,,,,,,,,,
1069465215,node,47.2380916,8.7543413,yes,,,,,,,,,,,,,,,,,,,,,,,,,An Fassade beim Eingang,,,,Grüner Kasten,,,defibrillator,144,,,,,node/1069465215,,no,,0,,,,Gemeinde Stäfa ZH,,,24/7,Lifetec AG Schweiz,,+41 800 122 144,,,,,,,,,,
1468855333,node,47.498422,8.6421365,yes,,,,,,,,,,,,,,,,,,,,,,,,,Im Wärmepumpen-Haus bei Obermettmenstetten 4,,,,Privatgerät öffentlich nutzbar,,,defibrillator,144,,,,,node/1468855333,IMG_1731.jpg,yes,,,,,,,,,24/7,"Walter und Esther Keller Obermettmenstetten 4, 8425 Oberembrach",,+41 79 442 56 17,,,,,,,,,,
2450774413,node,47.3625338,8.5299237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/2450774413,,yes,,,,,,,,,,,,,,,,,,,,,,
2600797493,node,47.3611237,8.8241415,yes,,,,,,,,,,,,,,,,,,,,,,,,,Bei Kirche,,,,,,,defibrillator,144,,,,,node/2600797493,,no,,,,,,,,,24/7,,,,,,,,,,,,,
2789308839,node,47.2691196,8.8157745,yes,,,,,,,,,,,,,,,,,,,,,,,,,Rechts neben Haupteingang hängt der Defi an der Wand,,,,rechts neben Haupteingang,,gemeinde@bubikon.ch,defibrillator,144,,,,,node/2789308839,,no,,0,,,,,,,24/7,Gemeinde Bubikon,,,,,,,,,,,,
2978025989,node,47.5926408,8.678884,,,,,Andelfingen,,,33,8450,Landstrasse,,,,,2023-11-07,,,,,,,,,,,,,,,,,,defibrillator,144,exercise,,,physiotherapist,node/2978025989,,no,,,,,,physio sport ag,,therapist,Mo-Fr 08:00-21:00; Sa 09:00-13:00,,,+41 52 317 14 22,,,,,,,,,https://www.physiosport-ag.ch/,yes
3097773751,node,47.4559007,8.8988507,,,,,,,,,,,,,,2024-09-07,,,,,,,,,,,,Freibad Eingang,,,,,,,defibrillator,144,,,,,node/3097773751,,no,,,,,,,,,24/7,Badegenossenschaft Bichelsee,,,,,,,,,,,,
3561848903,node,47.4131981,8.5408312,,,,,,,,,,,,,,,,,,,,,,,,,,at pillar in front of the pharmacy,,,,,,,defibrillator,144,,,,,node/3561848903,,yes,,,,,,,,,Mo-Fr 08:00-21:00,,,,,,,,,,,,,
3615202622,node,47.3934371,8.5092532,,,,,,,,,,,,,,,,,,,,,,,,,,"SIX Group AG, ask at reception",,,,,,,defibrillator,144,,,,,node/3615202622,,yes,,,,,,,,,Mo-Fr 08:00-17:00,SIX Group AG,,,,,,,,,,,,
4029060493,node,47.4144387,8.527531,,,,,,,,,,,,,,,,,,,,,,,,,,leftlhand side behind the sliding door,,,,,,,defibrillator,144,,,,,node/4029060493,,yes,,,,,,,,,,,,,,,,,,,,,,
4549758133,node,47.2547443,8.691181,permissive,,,,,,,,,,,,,,,,,,,,,,,,,staff area of bank,Personalzone der Bank,,,,,,defibrillator,144,,,,,node/4549758133,,yes,,,,,,,,,"Mo-Fr 09:00-12:30,14:00-16:30",,,,,,,,,,,,,
4705309319,node,47.2569857,8.8011573,yes,,,,,,,,,,,,,,,,,,,,,,,,,direkt neben Eingang Volg,,,,,,gemeinde@bubikon.ch,defibrillator,144,,,,,node/4705309319,,no,,0,,,,,,,24/7,Gemeinde Bubikon,,+41 55 253 33 55,,,,,,,,,,
4985524992,node,47.2708542,8.8225767,yes,,,,,,,,,,,,,,,,,,,,,,,,,"Neben Billetautomat, beim Stationsgebäude",,,,Öffentlich zugänglich,,gemeinde@bubikon.ch,defibrillator,144,,,,,node/4985524992,,no,,0,,,,,,,24/7,Gemeinde Bubikon,,+41 55 253 33 55,,,,,,,,,,
5028745025,node,47.3659638,8.7814866,,,,,,,,,,,,,,,,,,,,,,,,,,Neben Bäckerei Steiners,,,,,,,defibrillator,144,,,,,node/5028745025,,no,,,,,,,,,24/7,,,,,,,,,,,,,
5028745126,node,47.3641984,8.781445,,,,,,,,,,,,,,,,,,,,,,,,,,"Links aussen am Eingang des Museums, im grünen Metall Ästen an der Wand.",,,,,,,defibrillator,144,,,,,node/5028745126,,no,,,,,,,,,24/7,Gemeinde Pfäffikon,,,,,,,,,,,,
5028810923,node,47.3647085,8.7822599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/5028810923,,,,,,,,,,,,,,,,,,,,,,,,
5028826022,node,47.3652665,8.7857176,yes,,,,,,,,,,,,,,,,,,,,,,,,,gleich neben dem Eingang der Tankstelle,,,,24h öffentlich zugänglich,,,defibrillator,144,,,,,node/5028826022,,no,,,,,,,,,24/7,SOCAR,,,,,,,,,,,,
5028843521,node,47.3695452,8.770958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/5028843521,,,,,,,,,,,,,,,,,,,,,,,,
5030710122,node,47.367158,8.7826874,,,,,,,,,,,,,,,,,,,,,,,,,,Gemeindehaus,,,,,,,defibrillator,144,,,,,node/5030710122,,no,,,,,,,,,24/7,Gemeinde Pfäffikon,,,,,,,,,,,,
5031478621,node,47.3684444,8.7809452,,,,,,,,,,,,,,,,,,,,,,,,,,Beim Kundendienst Migros,,,,,,,defibrillator,144,,,,,node/5031478621,,yes,,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-18:00,,,,,,,,,,,,,
5032885825,node,47.372209,8.7827096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/5032885825,,,,,,,,,,,,,,,,,,,,,,,,
5077323995,node,47.256444,8.8502259,yes,,,,,,,,,,,,,,,,,,,,,,,,,Neben dem Haupteingang zum Gemeindehaus,,,,,,,defibrillator,144,,,,,node/5077323995,,no,,,,,,,,,24/7,Gemeindeverwaltung Rüti,,+41 55 251 33 33,,,,,,,,,,
5077323996,node,47.2579974,8.8492514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/5077323996,,yes,,,,,,,,,,,,,,,,,,,,,,
5077323998,node,47.25929,8.8552959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/5077323998,,yes,,,,,,,Gerät befindet sich in den Personalzonen,,,,,,,,,,herzsicher.ch,,,,,
5077323999,node,47.2612666,8.842755,,,,,,,,,,,,,,,,,,,,,,,,,,im Gebäude,,,,Während Öffnungszeiten verfügbar,,,defibrillator,144,,,,,node/5077323999,,yes,,0,,,,,Während Badesaison zugänglich,,,Gemeinde Rüti ZH,,,,,,,herzsicher.ch,,,,,
5077324000,node,47.2569479,8.8545041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/5077324000,,yes,,,,,,,,,,,,,,,,,,,,,,
5077324001,node,47.2555629,8.853986,permissive,,,,,,,,,,,,,,,,,,,,,,,,,Empfang Berufsschule,,,,nur bei Schulbetrieb verfügbar,,,defibrillator,144,,,,,node/5077324001,,yes,,0,,,,,,,Mo-Fr 07:30-17:00,Berufsschule,,+41 55 251 51 11,,,,,,,,,,
5077324002,node,47.2558256,8.8537166,permissive,,,,,,,,,,,,,,,,,,,,,,,,,Turnhalle,,,,nur während Schulbetrieb verfügbar,,,defibrillator,144,,,,,node/5077324002,,yes,,0,,,,,,,Mo-Fr 07:30-17:00,Berufsschule,,+41 55 251 51 11,,,,,,,,,,
5077324003,node,47.2609278,8.8446659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/5077324003,,yes,,,,,,,,,,,,,,,,,,,,,,
5343239855,node,47.3674592,8.7838032,,,,,Pfäffikon ZH,,,7,8330,Bahnhofstrasse,,,,,,,,,,,,,,,,Geschäftshaus Molki,,,,"Fassade zur Bahnhofstrasse, neben Informationstafel",,,defibrillator,144,,,yes,,node/5343239855,,no,,,,,,,,,24/7,Gemeinde Pfäffikon,,,,,,,,,,,,
