osm_id,osm_type,lat,lon,access,check_date,defibrillator:location,defibrillator:location:en,description,email,emergency,emergency:phone,id,indoor,level,opening_hours,operator,operator:type,panoramax,phone,ref,source,wheelchair
8842630422,node,47.1404741,9.5223373,yes,,"Vadozner Huus, Rathausplatz, Gemeindepolizei",,An der Aussenwand bei der Gemeindepolizei Rathausplatz,,defibrillator,144,node/8842630422,no,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
9004556001,node,47.1169584,9.5474035,yes,,"Schulhaus Obergufer, Turnhalle und Schuleingang",,24h verfügbar Eingangsbereich Turnhalle aussen,,defibrillator,144,node/9004556001,no,,24/7,Gemeinde Triesenberg,,,+423 792 26 75,,,
9004556004,node,47.1179677,9.5432273,yes,,"Dorfzentrum, Eingang Gemeindeverwaltung Warteraum",,Öffentlich zugänglich und im Wandkasten verbaut unterhalb Infobildschirm und neben WC Eingang,,defibrillator,144,node/9004556004,no,,24/7,Gemeinde Triesenberg,,,+423 792 26 69,,,
9004556005,node,47.1147438,9.5405088,yes,,Sportplatz Leitawis Sanitätsraum Tribüne Hauptplatz,,,,defibrillator,144,node/9004556005,yes,,24/7,Gemeinde Triesenberg,,,+423 792 26 68,,,
9004556006,node,47.0654426,9.5019813,yes,,"Pfarrkirche Balzers, bei der Toilettenanlage aussen",,,,defibrillator,144,node/9004556006,no,,24/7,Gemeinde Balzers,,,+41 79 698 93 11,,,
9004556008,node,47.0665958,9.5024067,yes,,Gemeindesaal Balzers,,Haupteingang,,defibrillator,144,node/9004556008,no,,24/7,Gemeinde Balzers,,,+41 79 697 33 26,,,
9004556011,node,47.0732475,9.4954404,yes,,Fussballplatz Hauptgebäude,,"Nebeneingang Hauptgebäude FC, direkt neben der Strasse",,defibrillator,144,node/9004556011,no,,24/7,Gemeinde Balzers,,,+41 79 639 33 13,,,
9004557421,node,47.110701,9.5202327,yes,,Freizeitanlage Kiosk Unterstand,,,,defibrillator,144,node/9004557421,no,,24/7,Gemeinde Triesen GePo,,,+423 236 36 42,Sportplatz Triesen,,
9004557425,node,47.1260601,9.5221424,yes,,Landespolizei Haupteingang Anmeldung,,,,defibrillator,144,node/9004557425,yes,,24/7,Landespolizei,,,+423 236 79 87,,,
9004557427,node,47.1328539,9.5129813,yes,,Garagen Werkbetrieb Vaduz / LRK Hauptsitz,,Am Garagentor bei der Bauverwaltung,,defibrillator,144,node/9004557427,no,0,24/7,Gemeinde Vaduz,,,+423 222 01 35,,,
9004557436,node,47.1385276,9.5226547,yes,,Information Tourismusbüro Liechtenstein Center,,Im Eingangsbereich neben Haupttüre 24/7 zugänglich,,defibrillator,144,node/9004557436,yes,,24/7,Auskunft LieMarketing,,,+423 239 63 00,Liechtenstein Center,,
9004557445,node,47.1494547,9.5160362,yes,,Aussenwand des Uni Restaurants Aufgang,,,,defibrillator,144,node/9004557445,no,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
9004557449,node,47.1674173,9.5274881,yes,,"Tennisanlage Dux, Öffentliches WC",,,,defibrillator,144,node/9004557449,yes,,24/7,"Gemeinde Schaan Alex Steiger, SIBE",,,+423 237 72 44,,,
9004557451,node,47.1662426,9.514968,yes,,Hallenbad / Turnhalle Eingang Schulhaus Resch,,,,defibrillator,144,node/9004557451,no,,24/7,"Gemeinde Schaan Alex Steiger, SIBE",,,+423 237 72 44,,,
9004557455,node,47.1665019,9.5098203,yes,,"SAL, öffentlicher Durchgang beim WC",,,,defibrillator,144,node/9004557455,yes,,24/7,"Gemeinde Schaan Alex Steiger, SIBE",,,+423 237 72 44,,,
9004557460,node,47.1707962,9.5121324,yes,,"Werkhofstrasse 7, Vis a Vis des Werkhofs und Altstoffsammelstelle",,Werkhofstrasse 7,,defibrillator,144,node/9004557460,no,,24/7,"Gemeinde Schaan, Alex Steiger, SIBE",,,+423 237 72 44,,,
9004557462,node,47.1748969,9.5116658,yes,,"Liecht. Kraftwerke, LKW",,,,defibrillator,144,node/9004557462,no,,24/7,"LKW, Liecht. Kraftwerke",,,+423 236 01 11,,,
9004557474,node,47.2058305,9.5383885,yes,,Sportpark Eschen-Mauren,,Nebeneingang zu den Kabinen EG,,defibrillator,144,node/9004557474,no,,24/7,Gemeinde Eschen,,,+423 794 90 20,,,
9004557475,node,47.2098016,9.5471501,yes,,Feuerwehrdepot,fire station,Bei den Garagentoren,gemeinde@mauren.li,defibrillator,144,node/9004557475,no,,24/7,Gemeinde Mauren,,8bfe5f1d-876f-487d-b48e-4997bbd28708,+423 792 22 41,,,designated
9004557476,node,47.2109182,9.56206,yes,,Schaanwald Parkplatz Bancomat Zuschg,"Next to the cash machine, on the outer wall","Neben Bancomat, Aussenwand",gemeinde@mauren.li,defibrillator,144,node/9004557476,no,,24/7,Gemeinde Mauren,,62fb4c4c-e944-4105-8636-7741195ee375,+423 792 22 47,,,designated
9004557477,node,47.2108577,9.5638239,yes,,"Schule, Eingang bei Turnhalle",,,,defibrillator,144,node/9004557477,,,24/7,Gemeinde Mauren,,,+423 792 22 41,,,
9004557479,node,47.2206587,9.5436196,yes,,Öffentliche Toilette / WC,,,,defibrillator,144,node/9004557479,no,,24/7,Gemeinde Mauren,,,+423 792 22 59,,,
9004557482,node,47.2323843,9.5466444,yes,,Verwaltungseingang EG,,Bei Eingang Gemeindeverwaltung,,defibrillator,144,node/9004557482,no,0,24/7,Gemeinde Schellenberg,,,+423 222 01 35,,,
9004557487,node,47.2452964,9.5245173,yes,,Tennishaus,,Erdgeschoss Aussen unter der Terrasse,,defibrillator,144,node/9004557487,no,,24/7,Gemeinde Ruggell,,,+423 377 49 20,,,
9004557488,node,47.2470901,9.5279824,yes,,Freizeitpark und Fussballplatz Widau,,,,defibrillator,144,node/9004557488,no,,24/7,Gemeinde Ruggell,,,+423 377 49 20,,,
9088806217,node,47.2184097,9.5106176,yes,,"Gemeindehaus Gamprin, gegenüber Bankomat",,,,defibrillator,144,node/9088806217,no,,24/7,Gemeinde Gamprin-Bendern,,,+423 375 91 00,,,
9088810017,node,47.2197109,9.5109559,yes,,"Gemeindeschulen Gamprin, gegenüber Eingang Aula",,,,defibrillator,144,node/9088810017,no,,24/7,Gemeinde Gamprin-Bendern,,,+423 375 91 00,,,
9088810018,node,47.2105658,9.5029242,yes,,Post Bendern,,,,defibrillator,144,node/9088810018,no,,24/7,Gemeinde Gamprin-Bendern,,,+423 375 91 00,,,
9088812017,node,47.2177819,9.5057481,yes,,Freizeitanlage Grossabünt,,,,defibrillator,144,node/9088812017,no,,24/7,Gemeinde Gamprin-Bendern,,,+423 375 91 00,,,
9088820717,node,47.2120567,9.5046536,yes,,Bongert / Parkplatz Kirche,,,,defibrillator,144,node/9088820717,no,,24/7,Gemeinde Gamprin-Bendern,,,+423 375 91 00,,,
9180373117,node,47.1667836,9.4929023,yes,,LFV Campus und FC Schaan Rheinwiese Schaan,,"Beim Treppenaufgang zur Tribüne, direkt neben dem Restaurant",,defibrillator,144,node/9180373117,no,0,24/7,Gemeinde Schaan,,,+423 222 01 25,,,
9352008617,node,47.1857513,9.5461863,yes,,Schulzentrum Planken,,"Hinter dem Gebäude, öffentlich zugänglich bei den Toiletten",,defibrillator,144,node/9352008617,no,,24/7,Gemeinde Planken,,,+423 375 81 00,Schulhaus / Feuerwehrdepot,,
10581038974,node,47.2221003,9.5487982,yes,,"Müller AG, Westfassade Franz-Josef-Öhri-Strasse 32",,Aussengehäuse in der Mitte der Westfassade,,defibrillator,144,node/10581038974,no,0,24/7,"Müller AG Schreinerei und Innenausbau, Mauren",,,+423 377 12 90,,"local_knowledge, defikarte.ch",
10599307305,node,47.2063538,9.5027666,yes,,"Parkhaus, Rhigass 5, 9487 Gamprin-Bendern",,An Aussenfassade neben Gebäudeeingang,,defibrillator,144,node/10599307305,no,0,24/7,Gemeinde Gamprin,,,+423 375 91 00,,,
10720578105,node,47.2139967,9.5017303,yes,,ARA Bendern,,Beim Velounterstand rechts Neben Haupttor,,defibrillator,144,node/10720578105,no,0,24/7,Abwasserzweckverband der Gemeinden Liechtensteins,,,+423 377 17 44,,"local_knowledge, defikarte.ch",
11296224569,node,47.1033471,9.6079587,,,"Schluchertreff Malbun, Öffentlicher Eingang",,,,defibrillator,144,node/11296224569,no,0,24/7,Gemeinde Triesenberg,,,+423 792 26 61,,,
11401087569,node,47.2344678,9.5511425,yes,,Sportzentrum Schellenberg,,Bei Haupteingang Sportzentrum,,defibrillator,144,node/11401087569,no,0,24/7,Gemeinde Schellenberg,,,+423 222 01 35,,"local_knowledge, defikarte.ch",
11409708469,node,47.2124884,9.5235586,yes,,Gemeindeverwaltung Haupteingang,,Hinter Schiebetüre neben Lift / Alarmgesichert ,,defibrillator,144,node/11409708469,no,,24/7,Gemeinde Eschen,,,+423 794 90 20,,"local_knowledge, defikarte.ch",
11409708470,node,47.1963031,9.5483422,yes,,Forstwerkhof Eschen-Nendeln,,Direkt an der Fassade beim Eingang ,,defibrillator,144,node/11409708470,no,,24/7,Gemeinde Eschen,,,+423 794 90 20,,"local_knowledge, defikarte.ch",
11409722070,node,47.197459,9.546631,yes,,Primarschule Nendeln,,Beim Eingang zur Turnhalle,,defibrillator,144,node/11409722070,,,24/7,Gemeinde Eschen Nendeln,,,+423 794 90 20,,"local_knowledge, defikarte.ch",
11409822869,node,47.207529,9.5277811,,,Bushaltestelle Essanestrasse Presta,,An Bushaltestelle Rückwand,,defibrillator,144,node/11409822869,no,,24/7,Gemeinde Eschen,,,+423 794 90 20,,,
11412517769,node,47.2407069,9.5248246,yes,,Gemeindeverwaltung Haupteingang,,Von Poststrasse aus sichtbar ,,defibrillator,144,node/11412517769,no,,24/7,Gemeinde Ruggell,,,+423 377 49 20,,"local_knowledge, defikarte.ch",
11412699570,node,47.1484976,9.514423,yes,,Schulhaus Ebenholz Im Parkhaus,,ca. 30 Meter in die Einfahrt fahren rechts an der Wand,,defibrillator,144,node/11412699570,no,-1,24/7,Gemeinde Vaduz,,,+423 793 78 29,,"local_knowledge, defikarte.ch",
11412741569,node,47.1292208,9.5244062,yes,,Kindergarten Schwefel Eingangsbereich ,,Im gedeckten Eingangsbereich ,,defibrillator,144,node/11412741569,no,,24/7,Gemeinde Vaduz ,,,+423 265 06 06,,"local_knowledge, defikarte.ch",
11412750269,node,47.1353665,9.51401,yes,,Wuhrstrasse 7 Bürogebäude,,Bei Haupteingang neben Türe,,defibrillator,144,node/11412750269,no,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,"local_knowledge, defikarte.ch",
11413452269,node,47.148332,9.5250811,yes,,Forstwerkhof Vaduz Letziweg,,An der Hauswand ,,defibrillator,144,node/11413452269,no,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
11413493469,node,47.1242447,9.5224357,yes,,Wertstoffsammelstelle Vaduz/Triesen,,,,defibrillator,144,node/11413493469,no,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
11414811071,node,47.1415672,9.5106669,yes,,Rheinparkstadion WC Damen neben Spielplatz,,Ist witterungsgeschützt im inneren der Toilette,,defibrillator,144,node/11414811071,no,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
11414830169,node,47.1433146,9.5091949,yes,,Rheinparkstadion Trainingsgelände Platz 4 Nord,,An Wand des Eingangs (nähe Schrebergärten),,defibrillator,144,node/11414830169,no,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
11414830171,node,47.1501554,9.5070739,yes,,"Feuerwehr und Samariter Depot, Schaanerstr. 43",,Am Eingang zum Depot,,defibrillator,144,node/11414830171,no,0,24/7,Gemeinde Vaduz,,,+423 222 01 35,,,
11438903069,node,47.1648445,9.5082954,yes,,Haus der Familien beim LLB Bankomat,,Im öffentlich zugänglichen Bankomatenraum neben dem Eingang der Drogerie Müller,,defibrillator,144,node/11438903069,no,,24/7,Gemeinde Schaan Alex Steiger SiBe,,,,,,
11480627969,node,47.1429181,9.5444216,yes,,Clinicum Alpinum,,Beim Eingang vom öffentlichen WC und dem Reastaurant Gaflei Stuba ,,defibrillator,144,node/11480627969,no,,24/7,Clinicum,,,+423 238 85 00,,,
11531604931,node,47.1383792,9.5192402,yes,,"Gemeindesaal,
Beim Haupteingang links an der Wand",,,,defibrillator,,node/11531604931,no,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
11598105669,node,47.1059712,9.5261586,yes,,Eingang Hallenbad / Lift,,,,defibrillator,144,node/11598105669,no,,24/7,Gemeinde Triesen,,,+4233993692,,,
11598729469,node,47.2390233,9.5259957,yes,,Nellengasse Primarschule Garage Hauswartung,,Bei Garagentore an Aussenwand,,defibrillator,144,node/11598729469,no,,24/7,Gemeinde Ruggell,,,+423 377 49 20,,,
11649491371,node,47.0930718,9.5262425,yes,,Tennishaus,,Beim Eingang zur Tennishalle,,defibrillator,144,node/11649491371,no,,24/7,Gemeinde Triesen / Tennisclub Triesen,,,+423 792 36 42,,,
11649514569,node,47.0861519,9.5270424,yes,,Campingplatz Mittagsspitze,,"Direkt bei Strasse sichtbar, Einfahrt Camping, Hausfassade",,defibrillator,144,node/11649514569,no,,24/7,Gemeinde Triesen,,,+423 792 36 42,,,
11652564769,node,47.1100085,9.523884,yes,,Eingang Gemeindeveraltung,,Aussenwand bei Tiefgaragenzugang Treppe,,defibrillator,144,node/11652564769,no,,24/7,Gemeinde Triesen,,,+423 792 36 42,,,
11698448369,node,47.13898,9.5246114,yes,,"Pförtnerhaus, Schloss-Sicherheit",,Beim Pförtner um Hilfe rufen. ,,defibrillator,144,node/11698448369,no,,24/7,Schloss Vaduz,,,,,,
11754925369,node,47.243565,9.5230189,yes,,Feuerwehrdepot Garagentore,,,,defibrillator,144,node/11754925369,no,,24/7,Gemeinde Ruggell,,,+423 377 49 20,,,
11769835969,node,47.1002091,9.5358453,no,,Strassenkreuzung Lawenastrasse / Garnis,,Direkt an der Strasse,,defibrillator,144,node/11769835969,no,0,24/7,Gemeinde Triesen,,,+423 792 36 42,,,
11769839169,node,47.1345827,9.5225524,yes,,Landesspital Eingang Empfang,,Direkt beim Eingangsbereich nähe Empfang,,defibrillator,144,node/11769839169,no,0,24/7,LLS,,,,,,
11826866284,node,47.2353045,9.524427,yes,,Oberweilerstrasse Verzweigung Geisszipfelstrasse,,Privatgrundstück Hausfassade gut ersichtlich,,defibrillator,144,node/11826866284,no,,24/7,Gemeinde Ruggell,,,+423 377 49 20,,,
11849557271,node,47.1086364,9.54582,yes,,Wangerberg / Sütigerwis Spielplatz,,An WC Häuschen,,defibrillator,144,node/11849557271,no,,24/7,Gemeinde Triesenberg GePo,,,+423 792 26 61,,,
11849635098,node,47.1185506,9.5493519,yes,,Gut sichtbar an der Hauptstrasse beim Holzschopf;Direkt an Strasse / Eingang,,,,defibrillator,144,node/11849635098,no,0,24/7,Gemeinde Triesenberg,,,+423 792 26 61,,,
11849773998,node,47.1325985,9.542801,yes,,"Masescha, Öffentliches WC / Entsorgung",,In der Nische zum Eingang der Toilette / Wartebereich Bushaltestelle,,defibrillator,144,node/11849773998,no,0,24/7,Gemeinde Triesenberg,,,+423 792 26 61,,,
11850190269,node,47.1199508,9.5533848,yes,,Rizlina öffentliches WC,,Aussenwand Nord,,defibrillator,144,node/11850190269,no,0,24/7,Gemeinde Triesenberg,,,+423 222 01 35,,,
11850537284,node,47.1273843,9.5389982,yes,,"Rotenboden, Saminaüberbauung",,An der Nordfassade direkt an der Strasse,,defibrillator,144,node/11850537284,no,0,24/7,Gemeinde Triesenberg,,,+423 792 26 61,,,
11886871869,node,47.1133862,9.5503341,yes,,Trafostation LKW Steinortstrasse,,Direkt neben der Strasse ersichtlich,,defibrillator,144,node/11886871869,no,0,24/7,Gemeinde Triesenberg,,,+423 792 26 61,,,
11886879169,node,47.1126858,9.5769323,yes,,Steg Zollhaus Bushaltestelle,,Bei den Postfächern / Bushaltestelle an der Wand,,defibrillator,144,node/11886879169,no,0,24/7,Gemeinde Triesenberg,,,+423 792 26 61,,,
11916053469,node,47.1995431,9.5447861,yes,,"Kirche Nendeln, öffentliche Toilette",,Öffentliche Toilette,,defibrillator,144,node/11916053469,no,0,24/7,Gemeinde Eschen-Nendeln,,,+4237949020,,,
12011868469,node,47.1737575,9.5099569,yes,,Liechtenstein Wärme,,Beim Haupteingang an der Aussenwand,,defibrillator,144,node/12011868469,no,0,24/7,Wärme.li,,,+4232361555,,,
12069964269,node,47.1354929,9.5179357,yes,,Kinderspielplatz Auring,,Am Toilettengebäude,,defibrillator,144,node/12069964269,no,0,24/7,Gemeinde Vaduz,,,+4237937802,,,
12071244969,node,47.1394554,9.5106807,yes,2025-02-22,Rheinparkstadion Kassahaus Parkplätze,,Am Kassahaus Fassade,,defibrillator,144,node/12071244969,no,0,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
12122290501,node,47.1506679,9.5212921,,,Spielplatz Waldhotel,,Bei den öffentlichen Toiletten,,defibrillator,144,node/12122290501,no,0,24/7,Gemeinde Vaduz,,,+4237937802,,,
12157841501,node,47.1079421,9.5770049,yes,,Kleinsteg Parkplätze Alpwerksgebäude,,"Öffentliche Toiletten, WC Anlage",,defibrillator,144,node/12157841501,no,0,24/7,Gemeinde Triesenberg,,,+4237922661,,,
12214050201,node,47.206865,9.5400827,,,Tennishaus,,beim Haupteingang,,defibrillator,144,node/12214050201,no,0,24/7,Gemeinde Mauren,,,+4233771040,,,
12214153201,node,47.2186832,9.5421458,,,Bancomat Mauren Post,,beim Bancomat,,defibrillator,144,node/12214153201,no,0,24/7,Gemeinde Mauren,,,+4233771040,,,
12214268503,node,47.1664923,9.5160524,,,Resch Schule Nordseite,,unter den Parkplätzen,,defibrillator,144,node/12214268503,no,0,24/7,Gemeinde Schaan,,,+4232377240,,,
12231717901,node,47.1641064,9.5053262,,,Im Pardiel 71 an der Strasse,,Kreuzung Pardiel / Wiesengass,,defibrillator,144,node/12231717901,no,0,24/7,Gemeinde Schaan,,,+4237947244,,,
12278966603,node,47.1447383,9.5154054,yes,,"Landstrasse 35, Architektur Hasler",,Rechts beim Haupteingang,,defibrillator,144,node/12278966603,no,0,24/7,Gemeinde Vaduz,,,+423 222 01 35,,,
12507267901,node,47.1585846,9.5108604,yes,,Saxgass 8a Rückhaltebecken,,Sichtbar von der Strasse am Eingang,,defibrillator,144,node/12507267901,no,0,24/7,Gemeinde Schaan,,,+4232377200,,,
