osm_id,osm_type,lat,lon,access,defibrillator:location,defibrillator:location:en,description,email,emergency,emergency:phone,id,indoor,latitude,level,longitude,name,note,opening_hours,operator,phone,ref,source,wheelchair
7813190773,node,47.1545645,9.5099866,yes,Mühleholzmarkt,,"während Öffnungszeiten verfügbar, direkt an der Wand bei den Toiletten",,defibrillator,144,node/7813190773,yes,,2,,,,Mo-Sa 7:00-19:00,"Mühleholzmarkt, Hauswartung Immo Vogt",+423 222 01 35,,,
8842630421,node,47.1509125,9.5071502,permissive,Tennishalle Schaanerstrasse 42,,Im Gang zwischen den Eingängen bei den Hallen,,defibrillator,144,node/8842630421,yes,,0,,,,Mo-Fr 08:00-22:00,Tennisclub Vaduz,+423 222 01 35,,,
9004556000,node,47.1099416,9.5960319,no,"Jungendhaus Malbun, Flur Erdgeschoss",,Nur Verfügbar wenn Tagesbetrieb,,defibrillator,144,node/9004556000,yes,,,,,,Mo-Fr 09:00-17:00,Betreiber Jugendhaus Landesverwaltung,+423 263 22 86,,,
9004556010,node,47.0674838,9.5027715,yes,Hallenbad Balzers Bademeisterkabine,,,,defibrillator,144,node/9004556010,yes,,0,,,,Mo-Fr 08:00-22:00,Gemeinde Balzers,+41 78 802 10 79,,,
9004556013,node,47.1064055,9.5302078,permissive,"Pfarrkirche, Eingang links an der Wand",,,,defibrillator,144,node/9004556013,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Gemeinde Triesen,+423 792 36 42,,,
9004556014,node,47.1044959,9.5253959,,"LAK Haus, Sekretariat",,,,defibrillator,144,node/9004556014,yes,,,,,,Mo-Su 09:00-18:00,Sekretariat,+423 399 15 00,,,
9004556015,node,47.1053813,9.526611,permissive,"Primarschule, vor dem Sekretariat",,,,defibrillator,144,node/9004556015,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Gemeinde Triesen,+423 399 21 90,,,
9004556016,node,47.1057958,9.5260477,yes,Bademeisterkabine,,,,defibrillator,144,node/9004556016,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Bademeister,+423 392 34 94,,,
9004557420,node,47.1093264,9.5215684,yes,Haupteingang rechts,,,,defibrillator,144,node/9004557420,yes,,,,,,Mo-Fr 07:00-17:00,Anmeldung,+423 399 55 11,,,
9004557422,node,47.1202291,9.5196761,permissive,"Amt für Kultur, Haupteingang EG links",,,,defibrillator,144,node/9004557422,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Liecht. Landesverwaltung,+423 236 75 43,,,
