osm_id,osm_type,lat,lon,access,access:conditional,access:note,addr:city,addr:floor,addr:housenumber,addr:postcode,addr:street,check_date,defibrillator:location,defibrillator:location:de,defibrillator:location:en,description,email,emergency,emergency:phone,fixme,foot,id,indoor,latitude,level,level:ref,longitude,name,note,opening_hours,operator,operator:type,phone,postal_code,ref,source,start_date,survey:date,website,wheelchair
2450774413,node,47.3625338,8.5299237,,,,,,,,,,,,,,,defibrillator,144,,,node/2450774413,yes,,,,,,,,,,,,,,,,,
3561848903,node,47.4131981,8.5408312,,,,,,,,,,at pillar in front of the pharmacy,,,,,defibrillator,144,,,node/3561848903,yes,,,,,,,Mo-Fr 08:00-21:00,,,,,,,,,,
3615202622,node,47.3934371,8.5092532,,,,,,,,,,"SIX Group AG, ask at reception",,,,,defibrillator,144,,,node/3615202622,yes,,,,,,,Mo-Fr 08:00-17:00,SIX Group AG,,,,,,,,,
4029060493,node,47.4144387,8.527531,,,,,,,,,,leftlhand side behind the sliding door,,,,,defibrillator,144,,,node/4029060493,yes,,,,,,,,,,,,,,,,,
5722961647,node,47.4090381,8.5114992,no,,,,,,,,,"HPL: E20 Eingang, Infomonitor",,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/5722961647,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
5807805187,node,47.3666867,8.5484823,yes,,,,,,,,,Neben dem Aufgang,,,,,defibrillator,144,,yes,node/5807805187,yes,,-1,,,,,24/7,,,,,,,,,,limited
5811716467,node,47.4130297,8.5477236,,,,,,,,,,,,,,,defibrillator,144,,,node/5811716467,yes,,0,,,,,,,,,,,,,,,
5831745723,node,47.4089119,8.5492219,yes,,,,,,,,,Empfangsbereich neben Liftanlage,,,,,defibrillator,144,,,node/5831745723,yes,,,,,,,,ewz,,,,,,,,,
6398162759,node,47.4142233,8.5599652,yes,,,,,,,,,Hängt an der Wand links neben dem Eingang zur Rezeption. / Hanging on the wall to the left of the entrance of the reception.,,,,,defibrillator,144,,,node/6398162759,no,,0,,,,,24/7,Baugenossenschaft mehr als wohnen (MAW),,+41 44 325 40 45,,,,,,,limited
6979662526,node,47.3785064,8.5311135,yes,,,,,,,,,Beim Haupteingang links. Vor dem Büro des Hausmeisters,,,,,defibrillator,144,,,node/6979662526,yes,,0,,,,,Mo-Fr 06:30-20:45,,,,,,,,,,yes
7089666582,node,47.3834157,8.5479679,,,,,,,,,,An Säule zu Gaststube neben Küche,,,,,defibrillator,144,,,node/7089666582,yes,,,,,,,,Linde Oberstrass,,,,,,,,,
7126089878,node,47.3794234,8.4978017,,,,,,,,,,Beim Haupteingang rects die Treppe runter,,,,,defibrillator,144,,,node/7126089878,yes,,,,,,,,,,,,,,,,,no
7179636243,node,47.3902069,8.5238766,,,,,,,,,,,,,,,defibrillator,144,,,node/7179636243,yes,,,,,,,,,,,,,,,,,
7246185951,node,47.3864863,8.535894,,,,,,,,,,Im Erdgeschoss links neben der Hauptreppe in den ersten Stock,,,,,defibrillator,144,,,node/7246185951,yes,,,,,,,,,,,,,,,,,yes
