osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,defibrillator:location,description,email,emergency,emergency:phone,id,indoor,level,name,opening_hours,operator,operator:email,phone,ref,source,website,wheelchair
5103296769,node,47.1724013,8.5173405,,,,,,Bei der Metalli Apotheke,,,defibrillator,144,node/5103296769,,0,,Mo-Fr 08:00-19:00; Sa 08:00-17:00,,,,,,,
5706235894,node,47.1809093,8.5219527,,,,,,Neben Portierloge,während Öffnungszeiten verfügbar,,defibrillator,144,node/5706235894,no,,,Mo-Fr 07:00-18:00,V-ZUG AG,,,,,,
7006201377,node,47.1665278,8.5151588,,,,,,,,,defibrillator,144,node/7006201377,,0,,24/7,Kanton Zug,,,,,,
7120020585,node,47.1731672,8.5180399,yes,,,,,Im Seitenflügel vor der Migros an einem Stütrpfeiler,,,defibrillator,144,node/7120020585,yes,0,,,,,,,,,yes
7568739427,node,47.1595384,8.5177863,yes,,,,,in der Schule,,,defibrillator,144,node/7568739427,no,,,24/7,Kanton Zug,,,,,,
7568739428,node,47.1598364,8.5155999,yes,,,,,Museum für Urgeschichte,,,defibrillator,144,node/7568739428,no,,,24/7,Kanton Zug,,,,,,
7568739429,node,47.1676399,8.5147738,yes,,,,,links vom Gebäude beim Velounterstand,,,defibrillator,144,node/7568739429,yes,,,24/7,Kanton Zug,,,,,,
7568739431,node,47.1643245,8.5165501,yes,,,,,nach Velounterstand rechts an Stützmauer,,,defibrillator,144,node/7568739431,yes,,,24/7,Kanton Zug,,,,,,
7568739432,node,47.1601087,8.5154761,yes,,,,,Schulgebäude Athene,,,defibrillator,144,node/7568739432,no,,,24/7,Kanton Zug,,,,,,
7568739433,node,47.1698555,8.5159311,yes,,,,,,,,defibrillator,144,node/7568739433,no,0,,24/7,Kanton Zug,,,,,,
7568739434,node,47.1733774,8.5155839,no,,,,,"*Aktuell nicht verfügbar!*

Bahnhof neben Gleis 3 Lift","*Aktuell nicht verfügbar!*

EG, Ausgang Richtung Metalli beim Lift zum Gleis 3",,defibrillator,144,node/7568739434,no,,,24/7,,,,,,,limited
7568739435,node,47.172484,8.516096,yes,,,,,Amt für Berufsberatung,,,defibrillator,144,node/7568739435,no,0,,24/7,Kanton Zug,,,,,,yes
7568739436,node,47.1789016,8.5187237,yes,,,,,Gewerblich-Industrielles Bildungszentrum,,,defibrillator,144,node/7568739436,no,,,24/7,"Hochbauamt, Kanton Zug",,+41 41 728 54 00,,,,
7568739437,node,47.1607774,8.5134085,yes,,,,,Verwaltungsgebäude 1,,,defibrillator,144,node/7568739437,,,,24/7,Kanton Zug,,,,,,
7568739438,node,47.1671447,8.5199685,yes,,,,,Verwaltungsgebäude 1,,,defibrillator,144,node/7568739438,no,,,24/7,Kanton Zug,,,,,,no
7568739439,node,47.1734364,8.509178,yes,,,,,"Eingang Rettungsdienst Zug, ZVB-Haus",,,defibrillator,144,node/7568739439,yes,0,,24/7,Rettungsdienst Zug,,+41 41 728 46 60,,,,limited
7568739440,node,47.173513,8.510094,yes,,,,,"im Windfang, öffentlich zugänglich",,,defibrillator,144,node/7568739440,no,0,,24/7,Kanton Zug,,,,,,
7568739441,node,47.1751886,8.5110301,yes,,,,,Schulhaus KBZ,,,defibrillator,144,node/7568739441,no,,,24/7,Kanton Zug,,,,,,
7568739442,node,47.1743179,8.5107037,yes,,,,,Verwaltungsgebäude 1 Links Neben Haupteingang,,,defibrillator,144,node/7568739442,no,,,24/7,Kanton Zug,,,,,,
7930654664,node,47.1675541,8.5162161,yes,,,,,Bei der Mobiliar im 1. Stock,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930654664,,,,,,,,,,,
7930654665,node,47.1814497,8.5034233,permissive,,,,,"Hallenbad Herti, bei der Badeaufsicht",während Öffnungszeiten verfügbar,,defibrillator,144,node/7930654665,yes,0,"Hallenbad Herti, bei der Badeaufsicht",,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",sicherheit@stadtzug.ch,+41 58 728 99 00,,,,
7930654667,node,47.1828457,8.4891379,yes,,,,,"Schulanlage Riedmatt, Fassade Velounterstand",,,defibrillator,144,node/7930654667,yes,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930654668,node,47.1776672,8.5190472,yes,,,,,"Schulanlage Guthirt, zwischen Trakt A und B",,,defibrillator,144,node/7930654668,yes,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930654669,node,47.1709794,8.5245152,yes,,,,,"Schulhaus Loreto, Trakt 4, bei Briefkasten, (oberer Parkplatz)",,,defibrillator,144,node/7930654669,no,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930654670,node,47.17101,8.5236941,permissive,,,,,"Hallenbad Loreto, bei der Badeaufsicht",während Öffnungszeiten verfügbar,,defibrillator,144,node/7930654670,yes,-1,,,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930654671,node,47.1777657,8.5006016,yes,,,,,"Letzi Schulhaus, Fassade bei Pavillon EG",,,defibrillator,144,node/7930654671,no,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930654673,node,47.162856,8.5199283,yes,,,,,"Schulzentrum Maria Opferung, Box bei Toreingang",,,defibrillator,144,node/7930654673,no,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930654674,node,47.1631111,8.5192846,yes,,,,,"Schulhaus Kirchmatt, Fassade bei Haupteingang",,,defibrillator,144,node/7930654674,no,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930654675,node,47.1729395,8.5181433,yes,,,,,In der Klubschule,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930654675,,,,,,,,,,,
7930654676,node,47.1779033,8.5054082,permissive,,,,,Im Migros,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930654676,yes,,,,,,,,,,
7930654677,node,47.1652628,8.5151567,yes,,,,,Im Migros,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930654677,,,,,,,,,,,
7930654678,node,47.1526994,8.5179663,yes,,,,,"Schulhaus Gimenen, Holzschopf vor Eingang",,,defibrillator,144,node/7930654678,no,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930654679,node,47.1760036,8.5084766,permissive,6300 Zug,2,,General-Guisan-Strasse,"Sporthalle Zug, Seiteneingang UG links",während Öffnungszeiten verfügbar,,defibrillator,144,node/7930654679,yes,-1,,,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930654681,node,47.1686773,8.5248689,yes,,,,,"Schulhaus Hänggeli, beim Haupteingang UG",,,defibrillator,144,node/7930654681,no,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930654682,node,47.165482,8.5171884,yes,,,,,"Burgbachsaal, Hausfassade links (bei Nebeneingang)",,,defibrillator,144,node/7930654682,no,,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 09,,,,
7930654683,node,47.1752387,8.5020205,permissive,,,,,"Strandbad Zug, bei der Badaufsicht",während Betriebszeit verfügbar,,defibrillator,144,node/7930654683,yes,0,,,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930654684,node,47.1720126,8.5128164,yes,,,,,"Parkhaus Neustadtplatz, Rückwand von Parkhaus Kasse (Hinterausgang Musikschule)",,,defibrillator,144,node/7930654684,no,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930677686,node,47.1749024,8.5166468,yes,,,,,Im Fitnesspark,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930677686,yes,,,,,,,,,,
7930677687,node,47.1644313,8.5142444,yes,,,,,"Casino Zug, Stütze Haupteingang",,,defibrillator,144,node/7930677687,no,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930677688,node,47.1642889,8.5133733,permissive,,,,,"Seebad Seeliken, bei der Badaufsicht",während dem Badebetrieb,,defibrillator,144,node/7930677688,yes,0,,,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
7930677689,node,47.1805505,8.5082178,yes,,,,,"Leichtathletikanlage Allmend, Fassade bei Haupteingang",,,defibrillator,144,node/7930677689,no,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",sicherheit@stadtzug.ch,+41 58 728 99 00,,,,
7930677690,node,47.1776809,8.5077685,yes,,,,,"Fussballstadion Allmend, Fassade links (bei Schuhputzstation, Seiteneingang)",,,defibrillator,144,node/7930677690,yes,,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 09,,,,
7930677691,node,47.1804539,8.5206995,,,,,,"Feuerwehr Zug (FFZ), Hintereingang, Seite Industriestrasse",,,defibrillator,144,node/7930677691,yes,,,Mo-Fr 08:00-17:00,Feuerwehramt Stadt Zug,,+41 58 728 18 18,,,,
8003897916,node,47.1641182,8.5163486,,,,,,,,,defibrillator,144,node/8003897916,,,,,,,,,,,
8165390899,node,47.1513652,8.5210103,,,,,,,,,defibrillator,144,node/8165390899,yes,,,,,,,,,,
8165737450,node,47.1439447,8.5329456,yes,,,,,In der Wartehalle der Bergstation,,,defibrillator,144,node/8165737450,yes,0,,24/7,Zugerbergbahn AG,,+41 41 711 53 76,,,,
8520333804,node,47.1815063,8.5199393,,,,,,Im Eingangsbereich Zugorama,während Öffnungszeiten verfügbar,,defibrillator,144,node/8520333804,yes,,,Mo-Fr 09:00-17:00; Sa 09:00 - 14:00; PH off,V-ZUG AG,,,,,,
8681975394,node,47.1717122,8.507569,yes,,,,,"Seebad Siehbach (Männerbadi), an der Aussenfassade",,,defibrillator,144,node/8681975394,no,0,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,
